,content,rating,title
0,I tried calling customer support many times since my account was blocked by airbnb. The response is: you will recieve an email/call from us shortly. no call . no email. no account. terrible customer servies today - was on the phone with them for 15 min and they disconnected me. i can't use their services because they can't reactivate my account.,1,“horrible experience” 
1,"I rented a home for a weekend and a window was damaged. I contacted the company I rented from (a very popular on line rental company that people put thier privatley owned homes up for rental. I don't want be sued by naming them but the name of the company starts with an A and ends with a B and the name is 6 letters with A's b's and an i in the name)  because I have integrity and felt it dishonest not to do so. The property owner sent in an invoice for the wrong type window which was $1000 more than I owe for the actual window we broke. The owner acknowledge his mistake immediatly and agreed with me. I received an invoice for payment for the incorrect amount from Airbnb. When I contacted them regarding this I advised them they needed to contact the host to get corrected invoice. I then received a dismissive email from a customer service rep named JOAO. Joao wrote that after ""careful review"" I still owed the incorrect amount and that my future reservations had been cancelled and my account deactivated. I had rented 4 times in the last 6 months from them so I am not a new customer.I have been trying to reach them on the phone to no avail. Do not rent from A_ _ B N B. You can contact any host on the site with questions before you pay anything. Contact that host and ask to rent directly from them. Use A _ _ _ _ b in the same disgusting manner in which they treat thier good customers. I am so angry. I am also contacting the Better Business Bureau and will make it my mission to write reviews to help others to not get SCAMMED and DISMISSED by this disreputable company. Shame on you A_ _ _ _ b.",1,“Think very carefully before using this company” 
2,"Never will book again with Airbnb. The owner struggled for four hours to add a day to our reservation. It took Airbnb until 2:40 the next morning to acknowledge my attempt to book a townhome in Mammoth. I loaded three photos over three hours by instruction of the customer staff. The company cancelled my reservation three hours before it was to timeout. Had to keep writing the owner. Called customer service at 5:00 am because our reservation was still not confirmed. The automated system kept not accepting my photo to match with the government ID (California Driver's License, front and back) I submitted. After 1.5 hours in a chat with customer service. Leizel said she had to go to a meeting and would call me in an hour -- when my reservation had been cancelled! There were between 20 minutes and over I hour in gaps to the chat responding.

I WILL NEVER BOOK Airbnb again. VBRO IS SOOOOO SUPERIOR AND THE CUSTOMER SERVICE IS FANTASTIC COMPARED TO WHAT I AM EXPERIENCING WITH Airbnb.",1,“Horrible Experience” 
3,They will give you the run around when it comes to refunds! I have been trying to get my $486 refund which they claim to have processed in November 2018! I've yet to receive the money and when I call I cannot speak to the department handling my issue as they only respond to their online chat support. Really?!!,1,“Poor customer service” 
4,"Their famous service does not equal to their customer support. Definitely the worst I've encounter yet!! I was just asking them to delete my account since I have the right to have my personal information removed. Instead, what I received was rude agents and they only ""deactivate"" my account. No further help or respond was provided. Becareful and beware!!!",1,“Horrible!!!!” 
5,"Airbnb confirmed a reservation for my homestay. Airbnb send me a email to check in a customer. After customer check out, Airbnb does not want to pay me. The reason is Airbnb need to collect payment from customer before they pay me. They said customer have some payment issues. Airbnb said i need to wait until the cow comes home or until customer pays up. Many message to Airbnb has been closed by them. Beware of Monster Airbnb who does not care about Host. Sometimes also teaching customer to cheat Host.",1,“Airbnb does not pay Host” 
6,"Once I received the address after booking and searched the rental I found it 1,000 cheaper. If you try to cancel your reservation you only receive 25% refund. Do not use AirBNB, they are a scam company just search through other more reputable companies.",1,"“Outrageous pricing, use a different company.” "
7,Terrible experience. My wife made a reservation for a month in advance and canceled it two days later. They would not refund all of my money. My daughter used them on a separate trip and the rental was cockroach infested.,1,“Terrible” 
8,"We have several homes that we manage and unfortunately, a couple of years ago, some of our property owners had heard of Air B&B and insisted that we try them. We now have lost half of our properties because Air B&B doesn't pay us and hence we cannot pay the property owners or our cleaning crews. The president of our company has had to get personal loans to cover the amounts that are due to be paid out to the property owners. We are talking about hundreds of thousands of dollars. It has gotten to a point where every booking we receive through Air B&B has to be verified over the phone to make sure they have sent our money to the proper / working bank account. They are still holding a huge amount of money from 2 years ago.

      If you are considering trying Air B&B, I recommend that you reconsider. VRBO/HomeAway is not any better either. These companies have gotten so big that they now control most of the Internet bookings and apparently are not capable of keeping themselves organized. If you are lucky enough to talk to someone that can actually communicate with you, you can expect rude service and even hang ups. 

     One thing I DO recommend is that even though both Air B&B and VRBO/HomeAway will not divulge the e-mail addresses or phone numbers of the renters until they are actually booked, once they have booked one of your houses, encourage them to book directly through YOU the next time they want to rent one of your houses. I send our clients a friendly e-mail once they check out and tell them how much they could have saved if they would have booked directly through us.",1,“Don't use them EVER!!!!!” 
9,"I'm reading a lot of reviews here from renters but need to add my own as a property owner.  We own and/or manage 17 vacation rental properties in two countries and have been Air BnB hosts for over 10 years with 95% 5-star ratings.  Every now and then, we get a weird bad review-usually due to a gap between what we offer and the expectations of the guest.  Recently, we got a 4-star review from someone whose issues included no water in the ice cube tray, exposed television cables on the wall, no door on the closet and not understanding that Air BnB properties don't include breakfast (it was her first time using the platform).  As a result, Air BnB suspended the listing for a week because it fell below their arbitrary 5-star requirements, with no option for disputing the review and no one to talk to at customer service.  Their attitude is ""we let the reviews speak for themselves"", even when the review is clearly unreasonable.  I can live with a bad review-I can't accept the arbitrary suspension as ""punishment"".  10 years ago I used to tell everyone how great customer service was at AirBnB, and it was.  Something went wrong somewhere along the way and they have become arbitrary, unresponsive and arrogant.  There are better choices out there including VRBO/HomeAway and Trip Advisor/Flipkey  We've developed our own booking site and related marketing tools and last year, it came close to beating Air BnB in total booking revenue for our properties.  So we're winding down our participation on the Air BnB platform this year.  They don't seem to understand that property owners are their lifeblood and responsible for 100% of their income.  I would have written them to tell them of our decision directly but they don't seem to want or care about this feedback.",1,“This company has gone off the rails...Owners- skip AirBnB and use your other options” 
