,content,rating,title
0,"If you ever have a problem rest assured, customer service is very sorry and understands, but there is nothing they can do. Remember this because you'll hear it before EVERY sentence they say. Most recently a brand new fire stick broke within a month. We were sent a refurbished one to replace it! The rep did not understand what my problem was despite his constant insisting he did understand, and was very sorry, but there was nothing he could do. Beyond all of this you now have to worry about fake reviews and counterfeit items. I think it's time we realized Amazon is an evil company. You guys make Walmart seem like a wholesome company!",1,“Worst customer service in the biz” 
1,"So I have been using amazon for the past two years and I have never left a review as I just couldn't be bothered. For once, I wrote a review as I actually liked the product but then later receiving a message on amazon saying that I won't be able to post any more reviews as I was violating against the policies. I called them a few times later receiving an e mail saying that I ever the had a relationship with some seller, or I was getting free or discounted stuff and that's the reason I was posting a good review and also my account had been banned from writing a reiview ever since. What really pisses me off is that there is  always a botton there where you can choose to leave a review but when I do, I get a ban. After called them 10 times and speaking to 5 different managers, about a month after the issue. What I got told on the phone was basically, we will not provide you with anymore information, we will not prove anything to you and the decision is final, happy or not, deal with with it' how bad does it sound? All I asked was, if they are determined' I was violating against their 3 policies like I have said above, prove it to me that I actually know the seller or I was getting free stuff? But no, I don't get any and I have to deal with it. The very last manager that I spoke to had a terrible attitude and they don't treat you like customers.",1,“Worst customer service ever!” 
2,"No reting this site, amezon costomer satisfaction is 0%, this is bed site, no any process refund, no any help for refund,
Bad bad and bad site....

Plz no purchase from this site because costomer care is bad, no helpfull in account details in. 

Plz another site use for purchase",1,“Never purchase from this site” 
3,I've paid for prime for a few months now and my last 3 orders that were guaranteed in 2 days were not here in 2 days. 2 were a day late and one was 2 days late. I contacted them to complain and they did nothing. I paid for prime for the 2 day delivery and they can't meet the deadline. I cancelled my membership and won't be using it again.,1,“Prime sucks” 
4,"I ordered a Nintendo switch and a few accessories for it. My fiance and I are huge gamers and and have been wanting to get one for a while. Now for clarifications I'm going to mention that over a year ago we had a nasty problem with package theft in my area, the police reports were filed and everything so now I have all of my packages set to be picked up from a carrier facility . Back to the reviews, my package arrived at the UPS pick up location on time, unfortunately it was missing an item I had ordered. No big deal right? I'll just contact customer service let them know it wasn't included in my package and we can sort this out right? Nope! I contacted CS and they asked me to wait a few days so they could investigate and that maybe it had just been misshipped alright cool no problem. The next day I get and email stating that I've had a high number of ""missing/stolen orders"" returns and that I should review the return policy. I'm obviously confused cause as I had said its been well over a year since the only incident I've ever had with stolen packages. I contact CS again and they tell me I need to file a police report before they can go any further and provide them with information about the report....??? By this point I've explained to them several times that I had the item set for pick up from a carrier location so it wasn't stolen it just wasn't sent. I'm normally not the type of person who says they're gonna cut ties with a company but Amazon has gone out of their way to place blame on the carrier and myself for this incident and it really shows what kind of company they really are.",1,“Demanded I file a police report for items they said must be stolen when they just didn't ship them” 
5,"I have been using Amazon religiously for years, and have always loved the convenience of the fast and reliable shipping. However, over the last months, I have encountered FOUR shipping issues, either stating that my product was somehow damaged and sent back and that I should order a new one myself, lost and I should order a new one, or not delivered because ""they did not want to leave a package unattended"" even though they always leave my packages by the door for the last 4-5 years AND had left a package from a different order DURING THE SAME DELIVERY. Now they are just returning the item to the seller without even telling me, after they told me they would deliver as soon as possible. Prior to the last month, I had never encountered any problems with Amazon, and now all these problems are occurring and I am wary when placing an order, almost anticipating some kind of error. Amazon used to be reliable, and now all that has gone down in the dumps. Will be canceling my Prime Membership, and will NOT be using this company anymore.",1,“Amazon shipping has gone in the dumps” 
6,"Realized we've been being charged by Amazon for a ""sellers"" account that we do not control and is not associated with any of the emails we own. Secondly Amazon is charging a credit card we rarely use when buying from them. Amazon will not give us information because our emails are not associated with the sellers account, yet they keep charging our card (14 times to the tune of $559.96). They finally agreed to deactivate the card, but will not take responsibility for the money. (The credit card company is taking responsibility for some, but not all of it.) Gone over the statements carefully & these are the ONLY charges that do not fit. The problem seems to be with Amazon & only Amazon, yet they do not assume responsibility. Advise that you do not leave your personal information (billing/ship to addresses, credit card info, etc) on Amazon and cut WAY back on your Amazon purchases!",1,“Beware of Your Info on Amazon” 
7,"At 7pm, my latest order prompted a message, """"We tried to deliver your package.
Unfortunately we couldn't enter your building but we will try again. If your address requires an access code, please provide it below."" The delivery was being sent to an AMAZON LOCKER that is supposedly accessible 24/7. There was NO EXCUSE for failing delivery. I have previously had packages go missing, so I figured it would be safe to try an amazon locker. Since the failed delivery, I have read some disturbing info about lockers being unable to be opened. I'm starting to feel like this is personal. As their ""good faith gesture"", they offered me a $5.00 coupon toward my next QUALIFYING SOLD BY/SHIPPED BY Amazon order. Yep. Give them $20. more and they'll make up for their latest abominable mistake. I'm going to film opening the locker, because I'm expecting it to be EMPTY. Extremely great incentive to BUY LOCAL.",1,“Fail delivering to Amazon Lockers” 
8,"I have been a loyal Amazon customer for many years. On January 19, 2019 I ordered an accessory for my smartphone on the Amazon website. It later turned out that this item was sold on the Amazon Marketplace by a Chinese vendor who shipped it by China Post. Since January 23 the shipment has been sitting at a Chinese postal sorting facility in Shenzhen City, without moving anywhere. In response to my complaint Shana W. of Amazon's Executive Customer Relations wrote me that there was nothing they could do and that they would not answer any further message on this matter. Her message was full of gibberish like ""You won&rsquo;t be able to submit a claim."" It is now February 1 and there is no sight of the order anywhere. Amazon's CEO Jeff Bezos has ignored my personal message.as well.",1,“Amazon's poor service” 
9,I was billed yesterday for the subscription of Amazon Prime service which I did never choose or authorized. They used my credit card data stored from my last transaction at Dec 12. It is a fraud. I thought Amazon.com was a safe place to store my credit card data but unfortunately it is not true. I will think twice before buy anything there again,1,“They used my credit card data without authorization” 
