,content,rating,title
0,"I bought a box of 12 new pens from a company. When I got the pens only one would work. I wrote a unsatisfactory review on this company. I was then notified by this company, that if I would change my review to 5 stars they would send me another set of pens. I refused to lie about this company and therefore did not get more pens. If this is how an EBAY review works I am totally in disagreement.",1,“Sellers reviews stink” 
1,"eBay member since dec, 13 1998. Bret69 is my user name. Perfect feedback. Over 100 transactions. Last thing I sold, a $1000 lathe chuck, sold for $270 and a hold was placed on my funds for 1 month. eBay expected me to pay out of pocket to ship this heavy item across the country. I needed the funds from the sale to pay for shipping. I ended up refunding the money to the seller. I spent over an hour on the phone with them trying to get the $27 transaction fee reversed and was told the buyer had to initiate the cancellation of the transaction, which I have since learned is not true. I put a block on my bank account and now ebay is continually harassing me over non payment. They won't ever get a dime from me. DONT EVER TRY AND HOLD BRET TAYLORS MONEY!",1,“Great place to sell if you like to have a hold placed on your procedes” 
2,"Ebay protect its seller,  2009shoppingmall ( 157161 ), to deceive consumers by buying  good reviews by lying to her consumers that she will return their money if they re-write the review to good. If consumers rewrite the review, she close the access of review, but does not return any money. Must under ebay helps, this seller controls the access of review all the time. A buyer can get the review link only after they receive items. The link will complete shut off after reviewing. But the seller or ebay will reopen it only buyers agree to rewrite good one under the seller's lie returning money. Otherwise, consumers never have the access to review her product. That review access control by sellers for their benefits through  website operation under ebay website indicates that ebay involves in the deception. 
I also need to mention the seller, 2009shoppingmall (157161), uses misleading language to deceive consumer by calling the toy room dividers (big as a book) as room dividers. If consumers do not check the size or not familiar with size unit, they will buy it because they take the item as real room dividers. She just know people will return the item for paying mailing back to China. Even though ebay says that consumers can return free, but you will get charge for packing. And the seller usually sell not too expensive item, so buyers will not real send back. The seller is China even though she used English name email me. I came from China. I saw too many similar deception in China.  Most of sellers deceive buyers like her.
Remenber her selling user name: 2009shoppingmall (157161)! She may change it after finding my review here. She sells ""6 Panel Screen Room Divider Fabric Wood Frame Folding Partition Privacy"".
I sell picture her products and her email asking I rewrite review! I am glad I did not lie it.",1,"“A seller,  2009shoppingmall (157161), on ebay deceive consumers by buying good reviews” "
3,"Not even free diamonds.
Buyer grossly misrepresented Item & shipping price. It took over a month for the item to arrive. eBay asked me to pay for the return shipping. Seller got defensive, then nasty, then threatened me. When the seller predictably pretended like he never received the item (despite my receipt of shipping) seller got defensive, then nasty, then threatened me. When seller predictably pretended like he never received the item (despite my receipt of shipping) And kept Over $65 of my money, eBay was okay with this, even complicit, because it is within their assinine policies. Their policies are consistently protective of their frequently disreputable sellers. This is not my 1st experience with their worst customer service on earth. It will be my last. Save your time, money, & sanity: Do business elsewhere.",1,“Do not buy on eBay!!!!!” 
4,"I purchased a motor through eBay for my Mini. The seller had listed the motor incorrectly and refused to provide a return ticket. To add insult to injury he was also very harassing via email. I sent him proof that the motor was incorrect and he still refused to provide shipping. eBay determined the motor was listed incorrectly and promised a full refund. I have yet to receive it and it's been a month. eBay tells me that I have to now fight with PayPal but I cannot submit a dispute through PayPal bc I did not purchase the item though PayPal. I cannot repair my vehicle bc I've not had a refund of my funds. I even offered to send the motor back when the refund was processed although eBay said I didn't have to and even though this seller was very belligerent. My advice is: Find someone else to purchase your parts through bc this company does not stand by their guarantees and warranties. I let him know the day we received it that it was incorrect. I'm still fighting to get someone to adhere to the policy and guarantee that I was provided upon purchase. It has been very difficult being without a car for so long and very a very difficult and extremely long process to get this corrected. It may not mean much to eBay and this seller but my car is the only transportation I have for myself and my son. My hope and prayer is that nothing emergent happens to either one of us or our pets while I'm waiting on this to be resolved bc we would be out of luck. I think it's a sad day when large companies do things like this to people - all people. For those of you that read this review, please pray for our family. Being without a vehicle bc of this company's refusal to uphold their policies is nerve racking and upsetting.",1,“Purchase large ticket items elsewhere” 
5,totally lots of fraud seller never money back guaranty .2016 i bought trouser i never receive money.,1,“frouad” 
6,"Sold my gaming laptop on Ebay and the guy stole all the parts out of the laptop, smashed the screen and then proceeded to file a claim for a return two weeks after he received the item and said the screen was broken upon delivery. We got the laptop back weeks after eBay settled on his side, the guy was too stupid and lazy to even try to hide the fact that he gutted our laptop because the cover wasn't even screwed on and it popped off to reveal the the parts missing! I call eBay and file a claim, upload 5 pictures, only for them to tell me I still need to pay the SOB back for the parts he stole from me. Will never use eBay to buy or sale again.",1,“They don't stop scammers” 
7,"I got scammed by the seller XPS Direct on the ebay platform. A Dell Alienware worth of £2k+ laptop has been advertised by this indian seller with certain specs, and he sends it away with lower specs . He was rude and ignorant and he didn't cared ahout what he advertised and what he sent . 

So i asked Ebay to intervene, and they said if i don't like it i can return the item and that is that . But if i'd be doing that he'd get away with his wrongdoings and they won't be doing anything  . So i asked ebay to get the seller to send a refund for the missing specs worth of value, and then i left the seller a negative feedback . 

What ebay did was to remove the negative feedback, and then also closed the case with no solution provided . So i got screwed £2000 by this indian seller and ebay alltogether . 

Awful place to buy your stuff . There are way better places!",1,“Great Place to Get Scammed !” 
8,"I listed a watch for sale and got scammed within 8 hours of posting.  Fortunately I didn't fall for it.  The buyer offered nearly double the opening bid price, and then sent a fake email from PayPal telling me I needed to ship the item and send a tracking number before they would release the funds.  I contacted PayPal and the email is fake.  EBay has no place on the site to report this kind of activity and still shows that the item sold (and they are invoicing me 10%) for $5,200.00.  Seriously illegal activity.  I'll take my stuff locally from now on!!!  Not to mention bringing all email correspondence to the Attorney General office.",1,“Got scammed on my first listing” 
9,There is a seller on ebay openly committing fraud on ebay customers and ebay doesn't want to do anything about it.  The have pointed me to paypal but they wont do anything either.  Ebay is not interested in doing anything about sellers current products for sale that offer the same warranty that they are not honoring for my $2600.00 purchase.  They just spin me in circles asking if they have answered my questions to which the answer is no.  They just want me to go away and be quiet.,1,“Seller is committing fraud and eBay does nothing to help or protect other customers.” 
