,content,rating,title
0,"I have been a long time rider with LYFT but that is OVER.

I had a driver pick me up a couple days ago in Buffalo, NY.  As usual, I took the back seat. I was preoccupied with something on my phone and did not realize the driver had an ""unauthorized third party"" - a female companion - who was riding along in the car until we were a couple blocks into the ride and after the driver had deviated from the route, driving through several unfamiliar side neighborhoods as a ""short cut"". 

I reported this incident to Lyft and requested a refund (or credit) for *this* ride. The refund was requested because the driver VIOLATED LYFTs contract with me - their customer. 

Per LYFT's grossly substandard (seriously - it's hot garbage) customer service department - I ""should have"" canceled the ride in the middle of a trip and exited the vehicle *in a strange neighborhood* and then called a new LYFT to take me where I wanted to go -- 

Seems legit - it totally makes sense that I should not only put myself at additional risk by escalating a situation with a driver who CLEARLY HAS NO REGARD FOR THE RULES AND PROTOCOLS OF HIS JOB - but also I should pay 2 base fees for their ill-trained driver breaking their contract.

LYFT's outsourced ""Quezon City"" customer service team has not only lost this company MY business as a longtime rider but also ensured that the app was uninstalled by the 3 OTHER RIDERS in my household who also previously used their service.",1,“TERRIBLE customer service NO REGARD for riders SAFETY NO accountability” 
1,"I normally never write a bad review but, his time I need to. The location of my home was never a problem for previous drivers. Recently the drivers have not been able to find my house. It might be a G.P.S. Issue.  I watched the progress map as the driver passed my house. I contacted the driver, to tell her my exact location. She began yelling at me and wouldn't stop. I didn't take the ride. I hope I don't get charged another cancellation fee after that abuse. About two months ago I scheduled a ride by error. I immediately called the driver to cancel, but I was charged a cancellation fee anyway. Some of the drivers are very rude, you never know what you're in for. 
I would not take Lyft if I were you. The service is unreliable. My experience with customer service is so-so. I requested a call back and their system called me and put me on hold blasting the most irritating music ever. The first person I spoke with was attentive and apologetic. He transferred me over to the billing department for a refund on the previous ride. I spoke with a truly snippy brat and she, of course, patronized me and denied me a refund. Lyft was a good service at first. I don't know what's happened. If you can get another ride, you should do so.",1,“Ride with Someone Else” 
2,"this is a scam and the app won't even let you register. good thing, too, because most people report sheisty dealings with the payments, etc.",1,“app doesn't work” 
3,"lyft just cut the pay again .....

Doesn't Recommend
Negative Outlook
Disapproves of CEO

DONT DO IT .... 

A 150 car payment cost over 1000 a month plus you are on a different pay platform so you will starve.. 

what a joke way less than  wage 
I can't really set my own hours, because I have to work very early in the morning and very late at night to get enough rides to earn any money. Not many rides are requested in the middle of the afternoon. Many passengers don't tip, and often I earn below minimum wage. The pay to drivers is way too low. Lyft takes a cut off the top, and then splits what is left with the driver. Lyft used to take 20 percent of what's left. Now they take more - 25 percent. The bonus Lyft pays toward the cost of the rental car has decreased several times. The minimum number of rides a driver must complete to get the rental cost bonus has gone up and up - to the point where it is almost unattainable. The cost of the rental car keeps going up - now $230 per week. Sometimes the app malfunctions, causing me to miss rides. Lyft aggressively recruits drivers to the point a Lyft driver is on every corner. So much driver competition means sometimes I get one ride per hour, and the average pay per ride is $4. If I drove around trying to get a ride instead of parking, I might have spent $3 on gas. If I park too long, Lyft kicks me off the app, and I have to move my car to log in again. The people who are happy working for Lyft are those who work in corporate offices. They probably get paid well. I work about 30-45 hours per week, and I take home about $500-800 per month. That's after paying about $720 per month for the rental car (after bonuses are credited). And that's before I pay taxes on my money earned. That's not a living wage. Lyft tells passengers the driver gets all the tip money when the passenger tips through the app. That's true - Lyft doesn't take any of it, but the driver has to pay taxes on it. Cash tips, though rare, are better. Sometimes I get home after a 9 hour shift of driving on busy freeways, and in downtown traffic, turning left and right, watching traffic lights, watching my GPS, avoiding pedestrians, concerning myself with my passenger's music and indoor temperature, holding a conversation, making sure my passengers aren't late for work, or don't miss their flights, and get home from the party safely, and I clean my car of the donut sprinkles they ate in my back seat and the dog hair they had on their shoes and the snot they wiped on the door handle, and I lay down and feel as if I'm still moving, and I feel very used, under appreciated, and underpaid. Five stars doesn't support me and my daughter.
Show Less
Advice to Management
Pay your drivers more. Quit double-dipping in drivers pay by taking a cut off the top, and then taking 25 percent before paying drivers. Do one or the other, not both. Pay drivers 80 percent commission, instead of 75 percent - you can afford it. Stop recruiting so many drivers. Not enough passengers exist for the number of drivers you have. My deductible on auto insurance for your rental car is $2,500. Find better insurance for your drivers. Educate passengers about how little drivers earn, and why passengers need to tip a driver who has provided good service. Even fifty cents is better than nothing. Some passengers can't afford to tip, I understand.... but almost every passenger can afford fifty cents or twenty five cents. Even that would add up. If Lyft would pay drivers more, tips wouldn't be such a big deal, and drivers could rest assured they would earn a decent living that week. More advice to management... reduce the cost of rental cars. When the new year comes, and the car is one year older - reduce the rental fee. Give drivers the choice of a new car at a higher rate, or a 4 year old car at a lower rate. Lower the minimum number of rides required to receive a rental bonus. Show drivers where the passenger is going before the driver accepts the ride. If I have to pick up my daughter in an hour and a half, I can't take a 2+ hour ride to the airport. So you say, ""then don't drive, log out."" I can't log out two hours before I need to get off work every day. I wouldn't earn any money that way. Also, quit cancelling rides when you think a driver isn't moving toward their passenger. Sometimes a driver is headed in the wrong direction when the ride is requested, or they are in the left turn lane when the new ride request requires a right turn. The driver needs to find a safe place to turn around. Same goes for passengers cancelling rides. Sometimes your driver needs to turn around. Sometimes a u-turn is unsafe or illegal. Sometimes a railroad track is between the driver and the passenger, and the driver needs to go to where a road crosses the track. Passengers (and the app) need to have some patience. Lyft needs to educate passengers about this. Drivers know they are being used and abused until the day self-driving cars are on the road, and drivers will be cast aside. That's a crappy feeling - that we have helped to build a mega company and will be disposed of. That's a crappy reputation you are building. You claim to be lifting people up by allowing them the opportunity to be a driver on your platform, but you are not. If you really wanted to Lyft them up, you could bonus them shares of stock or vesting in company ownership. That would change the whole game. Right now - the way it is - drivers are getting the shaft, and corporate people are becoming uber rich. Lyft's business model is terrible for the drivers. Just like most other large corporations, you are stepping on the little guys to get where you are going. Look at Chobani Yogurt's business model. The workers got a stake in the company. The company actually cares about the workers who made them what they are. The workers actually care about the company. It's a win-win. Lyft should take note, and appreciate the people who helped them reach and exceed their goals.",1,"“Lyft  - ""Scam ""RENTAL PROGRAM TOTAL"""" SCAM"""" ..... way over $1000 a month in the end per month” "
4,"I used to like Lyft because it wasn't Uber. However, their new Shared Ride feature has forced me to remove my profile. I had to go to work and my father, who uses a walker, needed to go to his doctor. I dropped him off at his doctor's office and went my way to work. An hour later, I was contacted that his appointment was over. So, I got a shared Lyft ride for my father to get him home. Several minutes later, I got a notification from the Lyft app that the I was charged a $5 no show fee. I contacted my father and he told me that he was trying to get to the Lyft car driven by Moises with a Toyota Corolla with a partial license plate of 7SUA who drove by really fast and waited at the end of the block. A reminder that my father uses a walker. Apparently, you have to be at the car within a minute or else lose your ride. My father cannot walk that fast and you expect him to walk to the car within a minute where it would take him five to get to the car? I did not get a call from Moises asking me where my father was. I was so upset that this guy does not have any customer service skills that I left work angrily and drove to my father's location as fast as possible before something bad happens to him. That was it for me. If Lyft and that driver wanted to make quick money without the responsibility of actually providing the service I had ask for, I say for everyone of you to delete your accounts and no longer use their service and don't get a ride from Moises either. Don't let something like this happen to you or your loved one so you can be taken advantage of or even worse, something bad happens to you or your loved one using their service.",1,“Hate their new Shared Ride feature” 
5,"I've been having terrible experiences with Lyft so far. Drivers taking longer routes to destinations, arriving late, not where I need or not arriving at all. Combine all of this with ridiculous prices and its pretty obvious that I will not use this service anymore.",1,“Quite awful experiences” 
6,"The app will show you 3 types of cars : "" depending"" on the number of passangers, so if we were 5, we chose the option XL That says for 6 ... well, they sent a Nissan Sentra, were only 4 fit+ driver. We  couldn't even put seat belts on because we were all squeeze and of of us almost on the lap.of the other. So, they Charged us as an XL car being a small car!!!! It's almost $10 the difference between one car and the other...  First is not safety riding a car like that and second they charged us something we didn't have... never use it again. The driver was very kind and nice person, but This issue makes me.feel that lyft just needed my money and sent me what ever they want it.... No more",1,“size of the car!” 
7,"Lyft app pings where you're at. This is the second time this night that lyft has ping me at the wordolf on the Vegas Strip I was never there.
I got cancellation fees of $5 each
why is this my fault when your app is messed up
if you don't return my $10 cancellation fee for the two rides that you said that I missed
I will not use your service again
and if you look at my receipts I would say that I'm very good customer with you I use your service everyday sometimes three four times a day
Thank you",1,“Lyft app why do I get charged for your mistakes” 
8,"I was overcharged two separate times in one night.  The worse part is there is NO way to get a human customer service rep on the phone.

I will only use UBER from now on",1,“Don't use them!” 
9,"I have ridden over 60 rides with Lyft services. All have been average to great experiences with the exception of my last  ride. The last occasion I rode with Lyft I left an item in one of their drivers vehicles , and realized within a 5 minutes time span that I had left it. I contacted the driver back while walking into my office and he didn't answer. Throughout  the day he proceeded to ignore my calls and messages. I finally reached him later that night and he explained that he didn't see or didn't find it in his vehicle. This was very hard to believe considering I was sitting in the front, it was left in the front seat, and it was bright silver and pink. He advised me to contact the Lyft Help support which advised there was pretty much nothing they could do because basically it was my fault I left it in the drivers car. Although it wasn't my fault the driver decided to keep it and ignore me the rest of the day. Its whatever I guess I will take it as a loss because to Lyft , it was MY FAULT that I had a dishonest driver. If my driver would have just answered my calls instead of deciding he wanted to keep my wallet than there wouldn't have been an issue. Then again Lyfts current policy does absolutely nothing to infringe punishment or justice for individuals who decide to keep lost items. So basically if I was my driver, I would have kept it as well because I knew nothing would have happened to me. There is absolutely no form of deterrence present in their policy.   Altogether with what was lost in the wallet and the cost of my last ride, I payed $213 out of pocket for that 10 minute ride , one in which  I have regretted every day since then. Lyft needs to review their policy on lost or stolen items, or maybe just need to employ more honest individuals. Either way I will never be requesting or referring their services to anyone else.",1,“Lyft will even employ thiefs” 
10,"I decided to calculate the percentage of what Lyft takes out after the total price of ride. Its bad enough that business is severely slow in Los Angeles County at times plus the overprice gas and car maintenance. How much profit am I really making. Estimate of 25% take home. Interesting, then they make damn near impossible to make bonuses becuz traffic in L.A. is horrible. So my question is, is it really worth it, I thought Uber didnt care about its drivers but apparently Lyft doesnt either.
Signed,
Disappointed Driver",1,“Lyft taking at least 45% or more in total Ride Fares” 
