text,label
"AHV J21 This vehicle with an Uber sign in front window blasts through neighborhoods passing people on the right hand side when it's one lane each direction, in the heart of valrico near school zones",1
"I had a pre scheduled uber ride on 02/22/2019. I received a notice that the UBER driver, Charles had arrived at my home, but no UBER car outside. I walked the block to locate the UBER driver with no success. Then. UBER charged me for a missed ride. Bad UBER!!!",0
"They never showed up for the taxis we booked, they cancelled them and then charged me each time £6 cancellation fee. My clients were 45 minutes late as a result of me having to keep rebooking taxis with them. As a result I lost a large contract, as well as them trying to continually take payments from my account until my bank stopped all payments. When I complained about this issue I have have had no resolution and they still owe me a significant amount of money. We will never use them ever again. Trust your local taxi firms instead to turn up and not rip you off.",0
"I'm a frequent uber user and I had no problems until this uber pool decided to introduce the short walk crap. I'm always having issues with the drivers, as I see an address and the driver sees another address. And a cancellation fee? Are you serious? There are many incompetent drivers out there so why do I have to pay $5 fee when they cancel? I'm saying bye to this service and I will make sure all my friends are aware of your games.",1
"I am no longer a Uber rider anymore. They are admit that they did no wrong and that it could be my banks fault when clearly it's not. They are such screw overs, it's unbelievable... lost 27 dollars. They charged me $13.13 for a ride back to where I had to be at that time. The driver canceled and there was a cancelation fee of $5.00. So, I should've at least been given back $8.13, but I thought it was going to take some time to process. So after that ride was canceled, I had to call for another Uber driver, which cost $14.63 that one went pretty well. So, I checked my bank account when I got to my destination and saw that the money that I owed was already taken for that second trip, which was of course okay. But, the $8.13 was never given back to me. I then check mid-day yesterday and saw that the full amount of $13.13 and 14.63 was refunded to me and there were no pending signs or anything indicating that it wasn't set in stones. I checked my bank account today and saw a drop in the amount of money I originally had in my bank account. The history of the $13.13 refund was no where to be found and saw that the $14.63 was refunded to me TODAY and then taken out of my bank account TODAY. As much as it sounds weird, that is exactly what happened! They should be giving back that $27.76 that they charged me. They never sent a notification saying that they were going to so, and taking money out of my bank account like it's a toy, because it's not.",0
"When Uber runs over its customers. Buyer betware - Ueber is not all that is seems. At first I liked it. Ninety percent of the drivers are decent hard working honest people. But it's a crap shoot. I'd estimate ten percent are unscroupulous and should you ride with one of them Uber has no customer support. There's no phone whereby you can reach the driver or company. Case in point: Take Bill an apparently affable guy who will offer you a beverage on the way to your destination. Bill drives a Grand Cherokee and all indicators indicate that he is a criminal or accomplice to a crime. When Bill dropped me off at Planet Fitness I immediately noticed I left my bag containing an IPod and Bose headphones in the back seat. About $600 worth of equipment. I tried to wave him down but he wouldn't stop. Since then I have sent over 30 texts to him, the local Ueber office, and the corporate hub in Stamford. I even asked the Stamford police to investigate. As of this moment neither Bill nor Uebr care about larceny and they have no moral compass or desire for customer service. The car will get you from point A to poing B but after that your on your own. Uber won't lift a finger to help. Do you reaally want to take a chance with this company when you have your wallet, or keys, or handbag, or smartphone, or lose engagement ring on your finger? The smart answer is no. Bill is still out there. Lyft is the same as Uber. I'll check later today but smart money says they are much more conscientious than Uber who thinks its customer service is of no importance, even when expensive items disapper in one of their cars.",1
My rating keeps going down every time I ride. I am a pleasant customer. Either uber app is messed up or something else. Why no promotion's or discounts? I have been using it for past 2 years and no discounts. HuH! avoid.,0
"Uber charged me twice for the same ride and then told me one of my friends or my family must have used my charge account to book the second ride to the same place on the same day and they even added a tip for the driver of the ride I did not take. Uber's advertisement that you can now CALL Uber for customer service is a bald faced lie, there is no phone number and no customer service by phone whatsoever. Uber's business model is based on lies, dishonesty, and illegal behavior as anyone who follows current news can see.",0
"I've wasted several hours of my time trying to register for this app. It's a scam. The support desk is completely incompetent, too.",0
I scheduled my ride 3 days ago for Friday night to go to an event that cost me $450. The ride never showed so I scheduled another ride. Confirmed it and another no show. I ended up driving myself and being late. Inexcusable.,0
"It's a bad company and the pay sucks. Uber clams that your in independent contractor but in reality your a total employee to them. Example Uber controls your account, the support line sucks, they are a waste of my time. I highly recommend everyone don't ever work for these thieves. My account is on hold for over a week and half for yearly background check up. I did nothing wrong these $#*!heads are pissing me off. They don't pay anything to the unemployment which means no support for you when they hold you account. Uber is a Nasty DEVIL!",0
"I used Uber last year and loved the service. I again ""attempted"" to utilize Uber last night (Halloween) for my 16 yr old daughter. Guess what? She ended up stranded miles from home due to YOUR inept incompetence. Needless to say, our Uber days are over. We will be utilizing Lyft from this point forward. Choose your merchants wisely!",0
"I wouldn't even give this ""company"" one star. First of all, their drivers always cancel my pool trips because they don't want to do pool trips and then I have to deal with the cancel fee and the trip money they take. Apart from dealing with this all the time, about a month ago I was out with a friend and my phone wasn't working so my boyfriend called an Uber for me, about a week later we realized that they had taken $150 out of the account because of some cleaning fee. They sent us a picture that looks like someone spilled water on the door and they said that was the reason. So we told them that I didn't do that and that that could be some random picture taken by their driver and they didn't care. They are not giving me my money back. They didn't even send me an invoice detailing the reason why they were taking that money, I had to ask them. So they basically stole my money. Be careful people. This guys don't care about you, they just want your money. I already deleted my account, I'm riding with Lyft from now on, I've never had a problem with them.",1
"My account was cloned, so I have having money taken out of my account for Uber trips and Uber Eats that I did not make/have. I tried using their Uber_support twitter account, and received the same automated message over and over. I then wrote back, and didn't get a reply. I then replied to my reply, and my issues was apparently taken to the appropriate team. Who then sent me the same automated message. I tried to again explain my concerns, but continued to received the same automated message. The charges still continued to come out of my account. When I messaged them about this, guess what.....THE SAME AUTOMATED MESSAGE. Terrible customer service!! If I could have given 0 stars that's what it would have been.",0
"I would give Ron, uber driver from Sante Fe negative stars if I could. On Oct. 12, 2018 we requested a uber driver to take us from our hotel to Sante Fe airport at 5:30am.The driver showed up, and intrduced himself as Ron. He seemed nice enough. My wife and I got in back, and proceeded to the airport. As we're driving, my wife and I are making small talk with him(where you from, how long you been an uber driver, and so on. Said he was from NY, and had been driving for uber in Sante Fe for 4 years. He started talking about tips, which I thought was very inappropriate. He said he buys water and hand sanitizer for his customers. I said ya, looks like a wet bar back here(lol). His demeanor quickly changed. He said "" you people are invading my privacy."" HUH! You ""have no bussuiness invading my privacy RIGHT, RIGHT"" (yelling at us) SCARY! We said we're just making small talk as he continued to yell at us. Finally, I told my wife I need to record this. He heard this, pulled over, and told us to get out. It was 5:45am, 40 degrees in an area that was dark no street light or bussinesses miles from our destination.He opened my wives door, and rudely told her to get out. He threw our luggage into the street and drove away. My wife is 65, and has a sling on her arm after a surgery. We didn't know what to do. It was our first uber ride, and I'm pretty sure our last.",1
"Sorry i have to review Uber Eats on this site, but cannot find any way to write a review on uber.com or ubereats.com Pathetic! Speaking of pathetic, my Eats order was delayed 5 minutes at a time for over an hour, and then the order was cancelled. BY UBER!! WTF?! As the customer, i thought i was the one who could cancel. I've never been fired by a merchant. I spoke with both Mae and Jose (a girl) and they even told me they have had similar experiences as ""customers"" of Uber Eats! Seriously?! when your own employees complain about their employer, things are broken!",0
