,content,rating,source
0,"AHV J21 This vehicle with an Uber sign in front window blasts through neighborhoods passing people on the right hand side when it's one lane each direction, in the heart of valrico near school zones",1,uber.com
1,"I had a pre scheduled uber ride on 02/22/2019. I received a notice that the UBER driver, Charles had arrived at my home, but no UBER car outside. I walked the block to locate the UBER driver with no success. Then. UBER charged me for a missed ride. Bad UBER!!!",1,uber.com
2,"They never showed up for the taxis we booked, they cancelled them and then charged me each time £6 cancellation fee. My clients were 45 minutes late as a result of me having to keep rebooking taxis with them. As a result I lost a large contract, as well as them trying to continually take payments from my account until my bank stopped all payments. When I complained about this issue I have have had no resolution and they still owe me a significant amount of money. We will never use them ever again. Trust your local taxi firms instead to turn up and not rip you off.",1,uber.com
3,"I'm a frequent uber user and I had no problems until this uber pool decided to introduce the short walk crap. I'm always having issues with the drivers, as I see an address and the driver sees another address. And a cancellation fee? Are you serious? There are many incompetent drivers out there so why do I have to pay $5 fee when they cancel? I'm saying bye to this service and I will make sure all my friends are aware of your games.",1,uber.com
4,"I am no longer a Uber rider anymore. They are admit that they did no wrong and that it could be my banks fault when clearly it's not. They are such screw overs, it's unbelievable... lost 27 dollars. They charged me $13.13 for a ride back to where I had to be at that time. The driver canceled and there was a cancelation fee of $5.00. So, I should've at least been given back $8.13, but I thought it was going to take some time to process. So after that ride was canceled, I had to call for another Uber driver, which cost $14.63 that one went pretty well. So, I checked my bank account when I got to my destination and saw that the money that I owed was already taken for that second trip, which was of course okay. But, the $8.13 was never given back to me. I then check mid-day yesterday and saw that the full amount of $13.13 and 14.63 was refunded to me and there were no pending signs or anything indicating that it wasn't set in stones. I checked my bank account today and saw a drop in the amount of money I originally had in my bank account. The history of the $13.13 refund was no where to be found and saw that the $14.63 was refunded to me TODAY and then taken out of my bank account TODAY. As much as it sounds weird, that is exactly what happened! They should be giving back that $27.76 that they charged me. They never sent a notification saying that they were going to so, and taking money out of my bank account like it's a toy, because it's not.",1,uber.com
5,"When Uber runs over its customers. Buyer betware - Ueber is not all that is seems. At first I liked it. Ninety percent of the drivers are decent hard working honest people. But it's a crap shoot. I'd estimate ten percent are unscroupulous and should you ride with one of them Uber has no customer support. There's no phone whereby you can reach the driver or company. Case in point: Take Bill an apparently affable guy who will offer you a beverage on the way to your destination. Bill drives a Grand Cherokee and all indicators indicate that he is a criminal or accomplice to a crime. When Bill dropped me off at Planet Fitness I immediately noticed I left my bag containing an IPod and Bose headphones in the back seat. About $600 worth of equipment. I tried to wave him down but he wouldn't stop. Since then I have sent over 30 texts to him, the local Ueber office, and the corporate hub in Stamford. I even asked the Stamford police to investigate. As of this moment neither Bill nor Uebr care about larceny and they have no moral compass or desire for customer service. The car will get you from point A to poing B but after that your on your own. Uber won't lift a finger to help. Do you reaally want to take a chance with this company when you have your wallet, or keys, or handbag, or smartphone, or lose engagement ring on your finger? The smart answer is no. Bill is still out there. Lyft is the same as Uber. I'll check later today but smart money says they are much more conscientious than Uber who thinks its customer service is of no importance, even when expensive items disapper in one of their cars.",1,uber.com
6,My rating keeps going down every time I ride. I am a pleasant customer. Either uber app is messed up or something else. Why no promotion's or discounts? I have been using it for past 2 years and no discounts. HuH! avoid.,1,uber.com
7,"Uber charged me twice for the same ride and then told me one of my friends or my family must have used my charge account to book the second ride to the same place on the same day and they even added a tip for the driver of the ride I did not take. Uber's advertisement that you can now CALL Uber for customer service is a bald faced lie, there is no phone number and no customer service by phone whatsoever. Uber's business model is based on lies, dishonesty, and illegal behavior as anyone who follows current news can see.",1,uber.com
8,"I've wasted several hours of my time trying to register for this app. It's a scam. The support desk is completely incompetent, too.",1,uber.com
9,I scheduled my ride 3 days ago for Friday night to go to an event that cost me $450. The ride never showed so I scheduled another ride. Confirmed it and another no show. I ended up driving myself and being late. Inexcusable.,1,uber.com
10,"It's a bad company and the pay sucks. Uber clams that your in independent contractor but in reality your a total employee to them. Example Uber controls your account, the support line sucks, they are a waste of my time. I highly recommend everyone don't ever work for these thieves. My account is on hold for over a week and half for yearly background check up. I did nothing wrong these $#*!heads are pissing me off. They don't pay anything to the unemployment which means no support for you when they hold you account. Uber is a Nasty DEVIL!",1,uber.com
11,"I used Uber last year and loved the service. I again ""attempted"" to utilize Uber last night (Halloween) for my 16 yr old daughter. Guess what? She ended up stranded miles from home due to YOUR inept incompetence. Needless to say, our Uber days are over. We will be utilizing Lyft from this point forward. Choose your merchants wisely!",1,uber.com
12,"I wouldn't even give this ""company"" one star. First of all, their drivers always cancel my pool trips because they don't want to do pool trips and then I have to deal with the cancel fee and the trip money they take. Apart from dealing with this all the time, about a month ago I was out with a friend and my phone wasn't working so my boyfriend called an Uber for me, about a week later we realized that they had taken $150 out of the account because of some cleaning fee. They sent us a picture that looks like someone spilled water on the door and they said that was the reason. So we told them that I didn't do that and that that could be some random picture taken by their driver and they didn't care. They are not giving me my money back. They didn't even send me an invoice detailing the reason why they were taking that money, I had to ask them. So they basically stole my money. Be careful people. This guys don't care about you, they just want your money. I already deleted my account, I'm riding with Lyft from now on, I've never had a problem with them.",1,uber.com
13,"My account was cloned, so I have having money taken out of my account for Uber trips and Uber Eats that I did not make/have. I tried using their Uber_support twitter account, and received the same automated message over and over. I then wrote back, and didn't get a reply. I then replied to my reply, and my issues was apparently taken to the appropriate team. Who then sent me the same automated message. I tried to again explain my concerns, but continued to received the same automated message. The charges still continued to come out of my account. When I messaged them about this, guess what.....THE SAME AUTOMATED MESSAGE. Terrible customer service!! If I could have given 0 stars that's what it would have been.",1,uber.com
14,"I would give Ron, uber driver from Sante Fe negative stars if I could. On Oct. 12, 2018 we requested a uber driver to take us from our hotel to Sante Fe airport at 5:30am.The driver showed up, and intrduced himself as Ron. He seemed nice enough. My wife and I got in back, and proceeded to the airport. As we're driving, my wife and I are making small talk with him(where you from, how long you been an uber driver, and so on. Said he was from NY, and had been driving for uber in Sante Fe for 4 years. He started talking about tips, which I thought was very inappropriate. He said he buys water and hand sanitizer for his customers. I said ya, looks like a wet bar back here(lol). His demeanor quickly changed. He said "" you people are invading my privacy."" HUH! You ""have no bussuiness invading my privacy RIGHT, RIGHT"" (yelling at us) SCARY! We said we're just making small talk as he continued to yell at us. Finally, I told my wife I need to record this. He heard this, pulled over, and told us to get out. It was 5:45am, 40 degrees in an area that was dark no street light or bussinesses miles from our destination.He opened my wives door, and rudely told her to get out. He threw our luggage into the street and drove away. My wife is 65, and has a sling on her arm after a surgery. We didn't know what to do. It was our first uber ride, and I'm pretty sure our last.",1,uber.com
15,"Sorry i have to review Uber Eats on this site, but cannot find any way to write a review on uber.com or ubereats.com Pathetic! Speaking of pathetic, my Eats order was delayed 5 minutes at a time for over an hour, and then the order was cancelled. BY UBER!! WTF?! As the customer, i thought i was the one who could cancel. I've never been fired by a merchant. I spoke with both Mae and Jose (a girl) and they even told me they have had similar experiences as ""customers"" of Uber Eats! Seriously?! when your own employees complain about their employer, things are broken!",1,uber.com
16,"I took an Uber to the hospital but left my expensive cardigan in the car. I contacted the driver immediately from information provided in the app. He confirmed he had the cardigan. He said when he is back in my area he would drop it off. I did not hear back for a while so contacted him again. He said he would drop it off to me but I'd have to pay almost £45 for the trip or he ca drop it off at the Uber offices in Canary Wharf. I then asked he drops it off at Canary wharf. I also asked that he let me know the details I will need to collect the item. My fare to the hospital was £7 by the way. Anyway, the driver whose uber user name is ""Abobacar"" stopped responding to me. I contacted Uber and they said they had tried to contact him to no avail. So I suggested that they switch his access off to force him to come to the office but they did not respond to that request instead they pretended they could do nothing and that the driver is self employed so there's nothing they can do. I filed a Police report and the Police said they had a duty to resolve the issue on my behalf. I relayed the message to Uber but they declined. A few weeks after, Abobacar contacted them and claimed he was in an accident and that when he got the car back the cardigan was missing. So I asked if his insurance would pay for the missing item, they did not respond to that. The moral of the story is, if you have a problem with an Uber driver Uber will do absolutely nothing to help you resolve it. They appear to have a finders keepers policy. It is disgraceful. I still use Uber but will switch to a competitor as soon as I get a chance to find one. Also, I will send an invoice to Uber as advised by the police. I will follow up with feedback at a later date. Beware of ""ABOBACAR"" the Uber driver!",1,uber.com
17,"Uber Support in USA is basically bunch of incompetent idiots. They are polite, and that is only positive thing one can say. But they have no clue about anything, totally useless and waste of time.  My experience: I was having problem with uploading documents and updating account. (I uploaded documents, but it was not getting approved even though everything was in order). I called Uber support 1-800-593-7069 -  First time I called, they reviewed documents, told me everything is fine and it will be approved within 2 hours - Next day I called again (as it was not approved) , they reviewed documents, told me everything is fine and it will be approved within 24 hours - It was not approved so I called third day, now they told me they can not approve it and I need to go to Greenlight hub in Toronto, to submit documents there , do (again) background check (even though nowhere on web site was asking for it)  -  I did go to Greenlight hub in Toronto 9 days ago. They were fast, professional took my documents, updated it, did a background check and said it will be 5 days to get results but after that it is all good and I should be able to continue driving with no problem -  (because you can not phone to Greenlight hub in Toronto) I called Uber support today hoping to be able to verify simple thing : Did they get results of background hack and if everything is okay. Incompetent loser on the other side took a time to ""check"" and then said background check is okay but he kept repeating like a parrot "" we are in process of reviewing and it might take 7-15 business days"" . What are they reviewing he was not able to explain.  Conclusion: calling Uber support is total waste of time, they are useless bunch of morons",1,uber.com
18,A promotion was offered in my area to sign up as a driver for uber 200 dollars extra if 100 rides were completed in a month... I completed 100 rides in 10 daysbut never recieved my bonus... So i called uber driver support... Who hung up on me 3 times then transfered me arround their office as i asked to speak to their managers... With them all saying i never opted into that bonus program so i wouldnt be getting it... After i asked to speak to a manager for the third time the male i was speaking to said he was the highest up in management and that he had herd my problem amd wouldnt be doong a thing about it and that he didnt have any more time to spend on the phone with me and he hung up again....  Here i come lyft.... No wonder there arnt enough uber drivers... Now there is one more less.,1,uber.com
19,"I have been unable to use my uber account for over a week, they cannot send a verification code to my phone, i tried a friends number, still not working, I called my provider, SMS messages are permitted, an after 16 emails to uber m they are still telling me they have a new team working on it and will resolve it, I have asked them to call me several time as they have numbers on their site  that are definitely not uber. I cannot believe such a company gets away with this , they do not deserve business, I feel bad for their employees, I will be usong Lyft from now on!!",1,uber.com
20,"They have little to no customer service. They have no actual person that you can speak to. They make it almost impossible. I have tried to explain to them in many different ways that they have charged me double for every trip that I have taken, and charged me double the tip for every trip that I have taken, and the money has come out of my bank account, but they still keep telling me that I have an outstanding balance and That I must pay it again!",1,uber.com
21,"Car number plate: GFI4CZK This may not reflect the whole of UBER, however, as my first and subsequentially last UBER ride, I think its safe to say this driver was enough to turn me against using it ever again. First, he tried to overcharge my us for our luggage (literally 4 shopping bags), despite it fitting with an excess of room, then he refused to take us when we refused to pay the overcharged amount. Rude and horrible experience which reflects poorly on the whole company. Would recommend UBER to start sufficiently interviewing their drivers so we, as customers, do not have to put up with such disgusting manners which utterly ruined my day. It may be amazing in the US but in the UK you are graced with the most shocking drivers who have no concept of customer service.  If you use UBER and get this number plate, then save yourself the bother and find another car.",1,uber.com
22,"While visiting Nashville for a concert on August 25th, I scheduled an Uber ride at the quoted rate (iPhone app) of $21.xx. We traveled from 5th avenue, not far from Bridgestone Arena to the Gaylord Hotel. Upon arrival, I tipped the driver in cash, and we exited the vehicle. A few seconds later, I received a notification that I had been charged $79.72! Uber informed me that there was a ""surge charge"" (which I had never heard of) and that it is applicable, essentially when there are very few drivers available, relative to the number of riders needing rides. Supposedly, the rider is notified of the surge charge before accepting or rejecting the ride, but I wasn't. I was simply told ""$21.xx"", then charged $79.72.",1,uber.com
23,"I am about sick and tired of Uber and I am just going to cancel all use with them. This is the second time that they have charged me for something without my permission. This ride was $48!!! Why do they do this?! What makes them think that someone wouldn't notice such a chuck coming out of their account?! This is the weekend and I have plans, what if that was all I had to even grab a bite to eat?! Uber is making me sick now and I am so tired of the run around with them. The first time they tried to say it was just an ""authorization"" if it is just an ""authorization"" WHY ARE THE FUNDS COMING OUT OF MY ACCOUNT?! This time, they haven't even replied yet. If those funds pull out of my account, there's going to be a huge problem! PLEASE DO NOT WASTE YOU TIME WITH THEM AND DO NOT KEEP YOUR ACCOUNT ON THE APP, THEY WILL ROB YOU!!!",1,uber.com
24,Uber is one of the worst cab provider... every time I face some problem... last time was driver did not come even after several phone calls and finally I had to pay phenality for that... I simply deleted the app,1,uber.com
25,"I tried to schedule a trip for Sunday. When I went into the app to schedule a ride, it immediately dispatched a driver. I pressed cancel on the app several times with no results. I then saw who the driver was and called her. She thanked me and didn't come. 5 minutes later, another Uber driver came. He cancelled the trip after hearing my issue asking that the customer not be charged. Two minutes later another driver came. I then was charged a cancellation fee.",1,uber.com
26,Tried driving for them going on two weeks still waiting on the decal I ordered twice. By time it comes I won't be trying to drive for them. Guess it's better then a two week wait from lyft on a background check. Not worth it. Y time you get everything it's the same as waiting 2-3 weeks at a new job for a paycheck.,1,uber.com
27,I ordered an Uber and the driver picked up the wrong riders. I contacted Uber and received a notification that I would receive a refund and they never gave me my refund and no one has gotten back to me no matter how many times I have contacted them. They acknowledged that someone else took my ride but still didn't refund the money. Horrible customer service. Or lack there of.,1,uber.com
28,7/29/2018 Have you as a driver tried to get app support when urgently needed.....forget it!!!! At least lyft has phone support that can be accessed within minutes.,1,uber.com
29,I was charged $80 for a 10 minute drive which would have cost me no more than $30 by taxi. I will not use uber anymore.,1,uber.com
30,"It has been over THREE weeks now and I have been told several different times by the Uber support team members that someone from their insurance adjuster's office will contact me within 2-3 business days. This has yet to happen. My shoulder is still in severe pain and I do not have insurance to have it looked at. They just keep ignoring me. ORIGINAL MESSAGE TO UBER SUPPORT "" Hello, I was picked up yesterday (06/27/2018) at 12:04 in front of the *** in Colorado Springs, CO. I wanted to bring to your attention something that happened concerning this ride. The driver was great and got me to my job interview on time! However, when he picked me up, I had my backpack and duffel bag with me because I didn't have time to take it to my storage unit first. Well, he drove a **** which is a very large truck. As I approached the truck he rolled down the window and said that I can just put my stuff in the back of the truck. So I walked around to the passenger side and proceeded to do so. The duffel back was extremely heavy and I had to lift it up to my head and lean over holding it up just to get it into the back of the truck. Lowering the duffel bag in, I got an extremely sharp pain in my left shoulder like something tore--it knocked the air out of me. I squeezed my shoulder and tried to catch my breath. Then I placed my backpack into the back of the truck and got inside and we left. I was running late to my job interview so that was my only concern at that moment. I think the driver noticed what happened because once he dropped me off, he quickly jumped out of the truck and replied: ""here, let me get that bag for you."" Anyways, I thought it was just a minor injury and that it would be fine by the next morning. Sadly, that is not the case. I was up most of the night because I couldn't sleep on my left side at all and anytime that I turned on my side the pain woke me up. I can no longer lift my left arm above my head or reach for anything without screaming in pain. Because of this, I am terrified that this is going to interfere with any possible job duties, if hired, and/or prevent me from passing any physicals should any job require one. I am writing you this because I just can't stop worrying how this is going to affect me. I'm homeless and I need to work and it terrifies me that this is going to prevent that from happening. "" This is the same blanket email that I get from Uber every time I ask them why no one is contacting me: ""...an insurance adjuster will contact you in 2-3 business days to discuss the details and claims process... Thank you for your patients."" Now, it has been nearly a month and the pain is only getting worse. Uber just keeps blowing me off hoping that I will just go away. Well, if this pain would go away then so would I!",1,uber.com
