,content,rating,title
0,"As a property owner listing my property on Airbnb for rentals, it’s a miserable, unfair, experience. They get payments wrong, pause your listing for various unfair or mistaken reasons, and are difficult to deal with. I recommend you stay away and use other major rental sites that I’m sure you’ve heard of. Those are fine, imo.",1,"Brian of Plano, TX"
1,"Airbnb is a total scam. They canceled my acct on vacation and left me living in the streets for complaining. The property I booked had no working plumbing, no working showers and no working toilets. Total scam. Using it you risk being robbed. They refuse to refund my stay and refuse to contact me back.",1,"Cayman of Los Angeles, CA"
2,airbnb decided to not go ahead with charges this time,1,"Serge of Monteregie, QC"
3,I booked at house in February and needed to cancel in March for a stay in August. The refund policy is very misleading. Cancel within 48 hours of booking and 14 days before check in to get full refund. Cancel up to 7 days before check in and get a 50 percent refund minus service charge. Cancel within 7 days of your trip and the reservation is non refundable. The host tells you they think you get back the amount. Airbnb tell you different. Service charges taken. Out of $393.28 I’m getting back $8.22 cents. ,1,"Sally of Calgary, AB"
4,"I canceled a reservation 60 days prior to a house with Strict cancellation policy. Guess what, I still have to refund from the host for money. The host told me that my cancellation excuse is ""lame"", and she has the right to decide not to refund my money. How ridiculous? What is the point with a definition of Strict cancellation policy? On AirBnb web page, it sad that ""cancellation before 14 days will get full refund except service fee"". AirBnb is getting worse and worse each year. I won't use it again.",1,"Zoe of Davis, CA"
5,"My first and only experience was horrible. I booked a house and made a down payment in January for a trip in March. There was an issue with payment because of my account being hacked into. They canceled my reservation without informing me that they were doing so. When I realized this days before our trip, I called and received the worst customer service in my life, specifically from Raven. They claimed that they emailed me to let me know but I never received it. They said I did not verify my email and that’s why. How were they able to take almost $400 from me if I hadn’t verified my email? ",1,"Tabatha of Saint Petersburg, FL"
6,Whatever you do don't book Airbnb. They cancelled my trip the day before and said I was locked out for security issues out of the blue the day before. I wish I read the reviews first. I now not only have to find a place for myself but my whole crew.,1,"Joseph of Myrtle Beach, SC"
7,"My first experience with Airbnb was one of a bait and switch tactic. Instead of a hotel, I decided to stay in an apartment. The rate was $201 per night. During the booking process, the rate increased to $250 per night. Luckily, I double checked everything before submitting payment. I ended up booking the reservation through another well known website for the original price of $201 per night, plus I saved a little due to the booking fees being lower. Since, I've received multiple emails from Airbnb encouraging me to complete the booking even though it's no longer available. I'm very disappointed and don't understand why companies participate in such unethical practices.",1,"Dawn of Birmingham, AL"
8,"After months of struggling with Airbnb...I gave up and then easily booked my vacation at VRBO! No more shock and disappointment discovering the difference between Airbnb’s hosts’ posted and actual price of rentals! No more delayed, confusing communications from hosts’ reneging on pricing and rental availability! And perhaps best of all no more suffering through Airbnb’s so called customer reps insisting that hosts are too busy to post accurate information and renters just need to waste as much time as it takes trying to get accurate rental info or who arbitrarily cancel an Airbnb customer’s account because the customer objects to such a woefully lacking customer service model. ",1,"ME of League City, TX"
9,"This is my first time using Airbnb to book my vacation. Me and my sister two family of 8 people planning a 6 nights trips in Las Vegas for the spring break. I had made a reservation through Airbnb on December 28 2018, for apartment in downtown Las Vegas from April 13th to April 19th 2019. 5 days later, my sister told me, she doesn’t want to go on the road trip no more, cause there are too much driving for her. So I hurry up and canceled the reservation, but they said the cancellation policy is very strict, you may cancel the reservation within 48 hours and 14 days before check in to get a full refund. It is very tricky, I canceled my reservation 100 days before I check in but they still charged me 50 percent of my deposit which is $468.75. Cause I didn’t meet the “within 48 hours.“ ",1,"Syndia of San Leandro, CA"
10,"My family members came from as far Guam and from Portland Oregon. I rented a property in Marina Del Rey CA for 3 days. Cost was $2,500. Check-in time was 4:00PM 02/22/19, host provided us with the wrong lockbox code, we tried contacting host @ 4:10pm unsuccessful, we reported the problem to Airbnb @ 4:15pm, Airbnb said they would contact the host but we were obligated to give the host 1 hr. to respond. Airbnb associate said that if there was no response in 1 hr. from 4:42pm, they would give us a full refund, the reservation would be cancelled, they would help us find another property and the host would lose their ""Super Host"" status. ",1,"Ramona of Los Angeles, CA"
11,"Airbnb.com says that you can cancel a booking and get full refund, or free of charge, if you cancel your booking before 48 hours, or within 48 hours of booking. Well, I am trying to cancel a 28 day booking I made in Budapest, but I am starting to get a really bad feeling about this host. I am afraid this host might be a scam, and I didn't want to risk getting to a faraway land in a country I’ve never been before, and risk not being able to get in the apartment with a child. I changed my mind and I was thinking to stay in another city instead, but since I paid $792.00 I wanted to get a refund so I could use it for another booking in another city. But airbnb.com website is telling me that my full refund (in less than 48 hours of booking) will be only $64.00. This company airbnb.com is a scam. Please be aware.",1,"Alexandra of Issaquah, WA"
12,"I canceled a rental and they initiated a refund which I have not received. I have been waiting for my refund for 3 months now. I called to speak to the department handling the refund ""processing center"" but customer service told me I could not be connected to them and they did not take phone calls. Only via their chat support. I keep getting the run @ and it's so inconvenient! Don't use them! They will steal your money!",1,"nora of Humble, TX"
13,"Their famous service does not equal to their customer support. Definitely the worst I've encounter yet! I was just asking them to delete my account since I have the right to have my personal information removed. Instead, what I received was rude agents and they only ""deactivate"" my account. No further help or respond was provided. Be careful and beware!!!",1,"Rayner of Vancouver, BC"
14,"Do not book through this site, they are a rip off and will do nothing to help WHEN not if things go wrong. Please don't waste your hard earned money. No customer service whatsoever - very rude staff.",1,James of United Kingdom
15,Recently rented a place and the owner kept my deposit saying that we scratched his fridge door yet we are positive it was his cleaner. He charged us $300 for a scratch and AirBNB allowed him to do this even though he never repaired the scratch. He got a fake quote and they allowed it. I have only gotten great reviews and am always very careful. AirBNB refused to keep open communication with me and immediately charged my credit card.,1,"Rhonda of Honolulu, HI"
16,"I called in August regarding issues on my account not letting me book a place. I’ve called multiple times, and have not received a callback. Have been told there’s technical difficulties and that’s why they haven’t called back... So there’s been technical difficulties for 7 MONTHS?!",1,"Michael of Phoenix, AZ"
17,"I had booked a condo in the middle of June for a December vacation. My wife and I were already in Huatulco when the host cancelled on us two days prior to moving into the condo. Airbnb gave me a $92.00 credit to put towards another property. With only two days before we required a place to stay I booked another property which ended up being 6 times the original booking. I have read and re-read their policies on Host cancellations and have been going back and forth with Airbnb to get this resolved. I am going on three months now and they keep putting it to a different customer care department. I have copied all my correspondences with them and have shown them their own policies in regards to a Host cancellation. Just wish that they would come forward and say, ""Sorry we were wrong and here is your refund."" For a company that brags about its platform being built on trust they certainly don't follow through.",1,David of Other
18,"Beware of Airbnb. Airbnb does not physically review any existing Homestay in the Airbnb site. Hence, there are homestay which might not be there at all. Host of Homestay Beware. Airbnb confirmed and accepted a reservation for my homestay. That means that guest have paid and good for check in. Guest check in on 14 Feb 2019 and check out on 16 Feb 2019. I notice that the particular payout was not been process in my Airbnb Host Dashboard. ",1,"EB of Cambridge, MA"
19,You guys ** suck. Thanks to you all I’m in the middle of Miami sleeping in my car with 3 children and you guys don’t give a ** and I had a reservation since 10 days ago. Waited 10 hours and never had my issue solved. I ended up sleeping in my car without a restroom and in a lil but I will have to walk into McDonald's to wash my mouth like a bomb. Thanks for ruining my vacation/anniversary/Valentine’s weekend. I been taking videos of this incident and you all are going down. My lawyer will contact you all soon. ** YOU ALL.,1,"Giselle of Orlando, FL"
20,"January 31st 2019 I checked in to Airbnb rental and an hour after the host left I noticed my asthma was kicking in and I also noticed that there was black mold surrounding the bathtub. It was also starting to give me a slight headache. I left and was there 3 hours. Immediately notified The Host. He gave me no resolution so I contacted Airbnb to request my refund and I did it within their 24 hour time frame as stated on the refund policy. It took them 11 days and they have denied my refund request and now they have blocked my ability to contact the host or them. They have not responded to me as far as supplying housing an alternate or my money back and I am not able to contact them. I paid $2,421.46 for 30 days. ",1,"Erin of San Jose, CA"
21,"After making a reservation for what appeared to be a beautiful property, I learned that I am only renting a room in the condo and not the entire condo. When I called customer service to complain and cancel, they initially agreed to refund me all of my money but when it came time for the refund they would only refund half the amount saying it was what was fair to both me and the host. They are refusing to honor their commitment on the refund. This was the first and definitely last time I will ever use Airbnb!",1,"Denise of Cumming, GA"
22,"We rented a Sante Fe model home in Phoenix, Arizona for a family event. My 85 year old Mom wanted all her daughters and their families together in one house for the event, so we chose a larger model home that would sleep 8. When we entered the property, there were no directions for check-in or check-out, or how to use the Wifi or cable TV. There was old, opened food in the refrigerator and cabinets, beer bottles in the cushion of the sofa, exposed wires on the smoke detectors, missing batteries, and missing units, as well as closet doors that wouldn't open, AND cracked/raised tile in a bedroom that was a tripping hazard. ",1,"Barbara of Exton, PA"
