,content,rating,title
0,"AHV J21
This vehicle with an Uber sign in front window blasts through neighborhoods passing people on the right hand side when it's one lane each direction, in the heart of valrico near school zones",1,“Doubt they screen drivers” 
1,"I had a pre scheduled uber ride on 02/22/2019.  I received a notice that the UBER driver, Charles had arrived at my home, but no UBER car outside. I walked the block to locate the UBER driver with no success. Then. UBER charged me for a missed ride.  Bad UBER!!!",1,"“DRIVER WAS A NO SHOW, BUT I WAS CHARGED .” "
2,"They never showed up for the taxis we booked, they cancelled them and then charged me each time £6 cancellation fee. My clients were 45 minutes late as a result of me having to keep rebooking taxis with them. As a result I lost a large contract, as well as them trying to continually take payments from my account until my bank stopped all payments. When I complained about this issue I have have had no resolution and they still owe me a significant amount of money. We will never use them ever again. Trust your local taxi firms instead to turn up and not rip you off.",1,“Absolutely disgraceful service from start to finish” 
3,"I'm a frequent uber user and I had no problems until this uber pool decided to introduce the short walk crap. I'm always having issues with the drivers, as I see an address and the driver sees another address. And a cancellation fee? Are you serious? There are many incompetent drivers out there so why do I have to pay $5 fee when they cancel? I'm saying bye to this service and I will make sure all my friends are aware of your games.",1,“worst app and service for riders” 
4,"I am no longer a Uber rider anymore. They are admit that they did no wrong and that it could be my banks fault when clearly it's not. They are such screw overs, it's unbelievable... lost 27 dollars. They charged me $13.13 for a ride back to where I had to be at that time. The driver canceled and there was a cancelation fee of $5.00. So, I should've at least been given back $8.13, but I thought it was going to take some time to process. So after that ride was canceled, I had to call for another Uber driver, which cost $14.63 that one went pretty well. So, I checked my bank account when I got to my destination and saw that the money that I owed was already taken for that second trip, which was of course okay. But, the $8.13 was never given back to me. I then check mid-day yesterday and saw that the full amount of $13.13 and 14.63 was refunded to me and there were no pending signs or anything indicating that it wasn't set in stones. I checked my bank account today and saw a drop in the amount of money I originally had in my bank account. The history of the $13.13 refund was no where to be found and saw that  the $14.63 was refunded to me TODAY and then taken out of my bank account TODAY. As much as it sounds weird, that is exactly what happened! They should be giving back that $27.76 that they charged me. They never sent a notification saying that they were going to so, and taking money out of my bank account like it's a toy, because it's not.",1,“No longer an Uber Rider” 
5,"When Uber runs over its customers.  Buyer betware - Ueber is not all that is seems.  At first I liked it. Ninety percent of the drivers are decent hard working honest people.  But it's a crap shoot.  I'd estimate ten percent are unscroupulous and should you ride with one of them Uber has no customer support.  There's no phone whereby you can reach the driver or company.  Case in point:  Take Bill an apparently affable guy who will offer you a beverage on the way to your destination.  Bill drives a Grand Cherokee and all indicators indicate that he is a criminal or accomplice to a crime.  When Bill dropped me off at Planet Fitness I immediately noticed I left my bag containing an IPod and Bose headphones in the back seat. About $600 worth of equipment.  I tried to wave him down but he wouldn't stop.  Since then I have sent over 30 texts to him, the local Ueber office, and the corporate hub in Stamford.  I even asked the Stamford police to investigate.  As of this moment neither Bill nor Uebr care about larceny and they have no moral compass or desire for customer service.  The car will get you from point A to poing B but after that your on your own.  Uber won't lift a finger to help.  Do you reaally want to take a chance with this company when you have your wallet, or keys, or handbag, or smartphone, or lose engagement ring on your finger? The smart answer is no. Bill is still out there. Lyft is the same as Uber.  I'll check later today but smart money says they are much more conscientious than Uber who thinks its customer service is of no importance, even when expensive items disapper in one of their cars.",1,“When Uber Runs Over Its Customers:  Uber It's Not What You Think” 
6,My rating keeps going down every time I ride. I am a pleasant customer. Either uber app is messed up or something else. Why no promotion's or discounts? I have been using it for past 2 years and no discounts. HuH! avoid.,1,“Horrible” 
7,"Uber charged me twice for the same ride and then told me one of my friends or my family must have used my charge account to book the second ride to the same place on the same day and they even added a tip for the driver of the ride I did not take.

Uber's advertisement that you can now CALL Uber for customer service is a bald faced lie, there is no phone number and no customer service by phone whatsoever.

Uber's business model is based on lies, dishonesty, and illegal behavior as anyone who follows current news can see.",1,“Fraudulent charges and NO cooperation” 
8,"I've wasted several hours of my time trying to register for this app. It's a scam. The support desk is completely incompetent, too.",1,“app doesn't work” 
9,I scheduled my ride 3 days ago for Friday night to go to an event that cost me $450.  The ride never showed so I scheduled another ride.  Confirmed it and another no show.  I ended up driving myself and being late.  Inexcusable.,1,“Uber never picked me up” 
