,content,rating,title
0,"I recently completed an order for $600.

The buyer filed a dispute because apparently 2% of the work was not completed successfully, this was the excuse anyway.

I denied the refund and Fiverr refunded them IN FULL, and WITHOUT even contacting me.

I opened a support request, actually 9 of them and FIverr started to close them out without even replying to reading them

I went above them to BBB, again on there, the same thing, they would reply once with little to no content, then that allowed them to close out the complaint.

Stay away from these criminals. It's a downright scam. They take 10% from buyers and 10% from sellers, their support system is AWFUL, they favor buyers 100% and there is no comeback as a seller. AVOID AVOID AVOID",1,“Fiverr are scammers” 
1,"I've used Fiverr professionally and personally. By using Fiverr, you basically are accepting crap work. Most of the profiles are fake and there are groups of fiver sellers from other countries that work together by giving each other good ratings. When you complain, Fiverr does absolutely nothing to help you. It's a great scam to the unsuspecting. Then you accept crap for work and have to do it yourself anyway. Finally, DO NOT send any data to a seller that has any value like a book idea. That seller will take your ideas and you will not hear from that fake seller again. I'll NEVER use Fiverr again. I can't say enough bad things about that group of scammers.",1,“Stay away from this scam site.” 
2,"After my negative experience with Upwork I've been suggested to try out Fiverr. I wasn't really sure at first, but then I decided to try it out and create an account there as well, which I honestly regret.

I spent half a day creating a proper profile with at least two big gigs. I even followed tips and tricks all around to be sure I was doing things properly and that said gigs would make me earn and gain experience soon enough.

Well, once again, that was all for nothing.

The thing is, there are a lot of sellers who advertise Fiverr like the best place to make easy money while that doesn't seem to be true. First of all, the moment you are done with your gig and ready to apply for jobs, you simply find out there is no real way to do that. The site doesn't even explain this and I had to Google ""how to apply for jobs on Fiverr"" in order to figure it out. You can open the buyer requests that should be tied to your gig and tags, but the problem is whenever I checked that section, there literally were 0 requests from 0 buyers... meaning no jobs I could apply to. 

I waited for some time, polishing the gigs every now and then, only to remove my account in the end. Not recommended.",1,“Another disheartening waste of time” 
3,"The most unprofessional, disrespectful, and scammer crew on the net! We ask the Internet Authorities please to stop giving power to 5th Country's people who just have money! Let them get into the projects only as silent partners if you need badly their investments! Fiverr idea was good at the first not now, but it was opened and run by the wrong people... We ask the right people to open a better one...",1,“The Most Unprofessional Crew Ever!!!” 
4,"I have had problems in the past with Fiverr but decided to try once more. I am now DONE. The seller charged me twice for a job that was delivered in unusable condition. So I asked for help. The ""Help Desk"" solved NOTHING!! and closed the case.",1,“Took my money; delivered NOTHING!!!” 
5,"For freelancer anyone account can be disabled anytime without any proper explanation or verification. Any completed order with 5 stars review can be cancelled any time even its 3 months later, so there is no guarantee you will get paid after your work! If you are client and want to do fraud activity in fiverr you can easily do, after getting your service you can get 100% refund, just contact with their support or make a dispute in paypal or credit card vendor, you will get refund.",1,“Insecure place for both Client and Freelancer” 
6,This scumbag company has robbed a hard working man. Voice over pete. for thousands of dollars. Worst company ever,1,“pay pete his money!” 
7,"Horrible company with terrible practices.

Do not support this company.

Do not spend money on any service here.",1,“Horrible Company” 
8,"I have figured out!
Fiverr company tries to protect his sellers!

If you give them negative feedback, it will remove the seller for you but not from the system. They will still work normally!
In short your review wouldn't display for that seller!

Trick- Fiverr will only show you positive feedbacks mainly 5 Stars to get more work on board!

It happens! No worries!
I wasted my money!
But you shouldn't!",1,“Fraudulent company!” 
9,"Would rate zero stars if possible.

This site will allow scam artists to use your phone number, basically participating in blatant identify theft, and then keep your phone number of record after the fake account has been deleted, so it will be physically impossible for you to EVER use their service. Not that you want to use their service. 

The site also allows its buyers to carry out theft, stealing the money you are entitled to for completing the work, without so much as even investigating the fraudster. This site fully allows its users to carry out fraud. I'm surprised they have not yet been sued into oblivion.

I guess this is just typical of companies based out of Israel, a non-existent country run by religious zealots and terrorists. Yet another terrible experience with yet another terrible Israel-based company.

99.99% of the services on this site are absolutely fake. The last thing i purchased on this garbage site was a logo. The 'expert' buyer wasn't even able to understand English and didn't seem capable of even basic photoshop/illustrator work. The 'logo' I paid for and received was an illegible pile of grey pixels that quite literally looked as if a child vomited on the screen.",1,“SCAM ALERT - CLASS ACTION LAWSUIT COMING” 
10,"I've had an account on Fiverr for many years. In 2013 I disabled it because of too much problems. The support acted like Gods and deleted gigs, too many of the competition gave bad reviews and too many wanted freebies - claiming they asked for free for a good cause! 
I started a new account in 2016 or 17 and thought I would try again. No visitors only and the same show. This time I offered giant deals for a ""fiverr""! They deleted my videos, they stopped my gigs and claimed they couldn't be true. I sent proof and when I did -they claimed I had multiple accounts. No good place, they've stepped away from the indie artists and focus only on already high paid people that work beside their normal business. It's expensive for the customers and its not a deal when more brilliant artists don't get a chance. (I'm not an artist but I did offer a huge promo deal)! Bad move Fiverr, very bad business spirit!",1,“They disabled my account - my gig was too good to be true!” 
