,content,rating,title
0,"From time to time I do surveys to make a little money, but I hate it when I spend 20 minutes of my time, believing I reached all requirements, then my $#*! gets REJECTED. That is my TIME wasted that I can never get back. Not even able to email the requestor to tell her that she wasted my time on her survey  $1.25 I was trying to earn for that damn survey. So many damn questions, at least 70, I answered all and at the end after it thanked me for taking the survey, I get REJECTED; which means no payment. My survey was completed but I won't get paid. I am $#*!ing pissed. So glad when i get a regular job and not have to go through this $#*!. Make a screener for your surveys, then folks won't waste their damn time.",1,“20 Minutes of Work and Rejected!” 
1,Rejected without a reason given. Why is never explained. Waste of time. Most hits arent even worth the effort anyway.,1,“Rejected without a reason given” 
2,"Ordered a pre paid Visa Gift Card for $105.95 and it was sent un activated. I called them for refund or activate, no one wanted to take a responsibility to fix the problem, claiming it had been over 30 days.What we supposed to use card within 30 days to see if you properly activated the card and balance is there , even tho  card exp 2025! No one wanted to take a responsibility and take an action. From buyers on Amazon we see lots of negative reviews about this issue.Amazon Payment Inc, collect payments and mail not activated cards! We need a refund!
https://www.amazon.com/Visa-Gift-Card-plus-Purchase/dp/B01MSBQB1P/ref=sr_1_1?ie=UTF8&qid=1517269961&sr=8-1&keywords=visa+card#customerReviews",1,“Got scammed by Amazon” 
3,"I tried to sign up with Amazon HIT, set up my account, and I get an email back saying that due to security restrictions they can't open an account because they can't verify my information.  I have had the same address, email, and phone number for 20 years!  I have been an Amazon Prime member for many years.  When I called (several times) and sent emails, the response is they can't tell me why!  They said set up a new email account and try that.  This is astounding!!  Don't do it.",1,“Amazon HIT Awful” 
4,Do not ever work for Amazon Mechanical Turk. This is a scam. You are working for free. They will never give you any $.,1,“Amazon Mechanical Turk” 
5,"I started signing up for Amazon Mechanical Turk so it asked for all my information but I DID NOT ACTIVATE IT realizing i needed to add money to my own bank account. Next thing you know they started withdrawing money from my account - it bounced, so i called and emailed them to get rid of the account because i couldn't delete it. they said okay and then try tried again to take the money. so by the 3rd day it's bounced 3 times and they took the 39.95 and never gave it back. So I reported them to the BBB. Very unhappy with this site. It turned out to be a nightmare before even working with them.",1,“they took my money and wont return it” 
6,This is a joke. Amazon should be ashamed of this crap.The majority of the tasks don't work and just waste your time. Seroiusly makes me want to reconsider wether I should even continue doing business with Amazon.,1,“This is a very bad joke!” 
7,"HOW ON EARTH DO YOU ALLOW YOURSELVES NOT STATE ON YOUR WEBSITE THAT NO INTERNATIONAL MEMBERS ARE ACCEPTED? DO YOU LIKE WASTING PEOPLE'S TIME OR SIMPLY HIDE THE FACT BECAUSE YOU WANT TO ENJOY TRAFFIC AND AROUND THE GLOBE ATTENTION? SHAME ON YOU AND EVERYONE WHO IS PART OF THIS ''TEAM'', WHO'S GOT THE ''BALLS'' TO STATE THAT THEY NEED NOT GIVE ANY REASONS FOR NOT ACCEPTING SOMEONE WHO TRIED TO REGISTER.  LAME AND NOTAPPROPRIATE FOR A ''SERIOUS'' COMPANY SUCH AS AMAZON. THANK GOD SUCH LOW LEVEL WORK CAN'T LAST LONG.",1,“Hiding the truth about members they accept and those they don't. WHY??” 
8,"This is a site used by marketers and Universities to collect low cost survey data and repetitive task completion for minimal fees. In many instances, workers who complete tasks as per the directions receive payment.

However, as anyone who has been burnt by these scheming requesters who mess it up for all of the others well knows there are certain unscrupulous requester types who use the Amazon.com mturk system to ends more sinister than access to an unsuspecting pool of cheap labor.

These requesters follow a self serving ethic presumably motivated by the ease with which they can reject work and save themselves the fees they have already agreed to and are required to pay. A stiffed worker has no recourse through Amazon. There is no appeals process or investigation by Amazon. A requester can only be reported before the worker has any experience with her and only for a very narrow range of complaints  evading work payment is not one of them. It gets worse. The rejection and any untrue reason(s) provided by the requester through the automated Amazon system in bad faith have a deleterious impact on the profile of the workers who have already been denied payment for their work.

The Congress needs to take a deeper look at this mturk system, which conceals these types of business practices behind the shield of a contract worker arrangement provided by the shrink wrapped, boilerplate adhesion language in their TOS. Legislature and the courts need to further assess the whole system to gauge its compliance with basic levels of public policy, acceptable in the reasonable standards expected in an industrialized nation.

If such systemic false pretense routinely engaged in by those requesters who make use of the mturk system to actively pursue the above-mentioned practices does not enumerate as the key elements of material fraud, then how else is it reasonably described?

There is no rating system of the requesters provided by Amazon. Mturk workers are in the dark when accepting a work hit that could result in non payment by one of these unscrupulous requesters meeting the above definitions. In the interim, a plug-in such as the one provided by Turkopticon can provide some minimal measure, though incomplete because of its 3rd party implementation, forewarning to the mturk worker pool.",1,“mturk provides TOS shield for fraud-engaging requesters” 
9,"It isn't a scam but it doesn't make much money. According to Forbes ""estimates of what workers can earn on these crowdsourced tasks range from about $1.20 to $5 an hour without any benefits. Employers treat them as independent contractors not covered by federal minimum-wage legislation"".",1,“After reviewing Amazon Mechanical Turk it not a scam.” 
10,"What a joke I could not use amazon turk because of the stupid amazon payments why? Because for some reason they disabled my account because they could not confirm my information, but would they tell me what info no. How can I fix this they said you cant. end of story. Well what a waste of time now my bank info and ssn are stuck on that site and because it is disabled I cannot even delete them! Customer service was a joke dont even bother calling",1,“waste of time” 
11,"Well if this email from them says anything, it screams idiocy. Here it is:

Greetings from Amazon Mechanical Turk,
We have completed our review of your Amazon Mechanical Turk Worker Account. We regret to inform you that you will not be permitted to work on Mechanical Turk.

Our account review criteria are proprietary and we cannot disclose the reason why an invitation to complete registration has been denied. If our criteria for invitation changes, you may be invited to complete registration in the future.

Thank you for your interest in Mechanical Turk.
Sincerely,
Amazon Mechanical Turk
https://www.mturk.com
410 Terry Avenue North
SEATTLE, WA 98109-5210 USA

What the hell about a review process is proprietary? Are you kidding? What was proprietary about it? It is because they only hire Americans now. Because of this review, a friend here in Canada who uses MTURK has cancelled her jobs so now she will use clickwork.com",1,"“Well if this email from them says anything, it screams...” "
12,mturk sucks they closed your account without warning and when you send email and ask why they close the account they do not reply I send servral email and it has been over a month and no reply because they sucks and don't want to pay for work done and have no care for the employee.,1,“mturk sucks they closed your account without warning...” 
13,"Many of the hits do not work at all and you get negative profiles for being unable to complete things that don't work, even if you return them.",1,“Many of the hits do not work at all and you get negative...” 
14,Too many account info requirements! They need your driver license number and your SSN#. I would use something simpler.,1,“Too many account info requirements!” 
15,"I originally reviewed Amazon Mechanical Turk as a good place to work for a little extra spending money, and I still stand by that review. However, from a customer service aspect it is horrible. 

Be careful of the HITS you accept. If you are doing HITS for a new requester. Do only a few HITS first and wait and see if they reject or accept and how long they take to do that and pay you. You could waste hours and have many HITS rejected (without knowing why) which will bring down your rating and could cause AMAZON to freeze or block your account.

Amazon also randomly suspends accounts because you will be treated as an algorithm and not a human. 

Be careful about keeping money sitting in your account without moving it quickly. You could get suspended for unknown reasons and lose your earnings. This happens quit frequently. Suspensions happen for real reasons to protect the site but also for reasons unknown with no fault of yours. 

Reaching customer service and resolving these problems tend to be futile and you will likely be given a canned response email. It still can be good place to make extra money, just be aware of what could happen and protect yourself first.",2,“Be Careful / Important Advice Before You Start” 
16,"Now mturk become worst, all requesters left mturk because increase in commission from 10% to 40%. In 2013-2016 boom in work, daily 10 to 20 projects to work, but now 1 project in couple days. I don't know who is head of mturk, he is worst person.",2,“mturk review 2018” 
17,"It's ok. I've been working on mturk for a long time now and I can tell you it isn't what it used to be. Now that they changed over to the new worker site it is even worse! I do the best I can on it with scripts to catch but, there isn't much work anymore. Mturk just isn't worth it these days.",3,“Not that great anymore.” 
18,"Here is my honest review of Amazon Mechanical Turk. I have been a worker for several years so this is a good resource to check.

http://spiralnotes.com/mechanical-turk-review/",3,“Mechanical Turk Review” 
19,We create a new account last month in mturk but we get declined mail. it possible to accept in future.,3,“About new registeration” 
20,"Mechanical Turk was originally a way for people all over the world, and in poor countries in particular, to make small amounts of money easily. By 2011, there were workers in 190 countries. Because a mastery of English is necessary, at some point Amazon started taking only American applications. (If anyone knows when the change was made, let us know in your review.) 

Because workers are independent contractors, i.e. self-employed,  the US minimum wage law doesn't apply. So there's no Turk in Third World countries, where a few dollars can be meaningful income, while Americans create all sorts of ways to be successful at working for pennies. That's the irony.",3,“The irony of MT” 
21,"I've been doing this since February, and I've made a little over $1000 now. Yes, it's low paying and not a quick get-rich type of thing at all. But it pays for my food, gas, and pocket money every week, letting me save more money from my regular full time job. Mind you, I'm the type of person who gets excited to find pennies, dimes, and nickels on the sidewalks, so this works for me. I don't put a lot of effort into it, since it's only pocket change for me. I do it while I'm at work, and sometimes at night. Some people get real crazy, setting alarms to snatch up good-paying HITs in the middle of the night from international requestors, working on them for 8 hours a day, etc. I do it mostly as a hobby, and don't get too crazy. If I'm working on a HIT and I don't feel it's worth it, I just return it and do another one. You will start to know which ones are worth your time, and which ones you enjoy doing the best. I did try and do this for 5+ hours a day once, and it drove me crazy. I could never do this as a full time job, because I wouldn't have what it takes. You have to really pay attention to everything you do, read every single word, and submit everything in the correct way, or you might not be paid. The highest paid HIT I've done was $6 for about 40 minutes. There are some fun HITs on here every now and then, too. Even the smaller $.05 or $.10 cent HITs sometimes are a gem, because they include bigger bonuses in them. I choose to have the money direct deposited into my bank, and it takes less than 24 hours to hit my bank account. You are a contractor for them, so yes, you will have to pay taxes on your income when the time comes. Keep that in mind.",4,“Good way to make extra cash” 
22,"Mturk isnt anything that you'd want to quit your day job over, but it is nicefor a few extra bucks or Amazon gift cards now and again. I've used it for a long time and will do so for many more years as long as it is around",4,“Used it for a Long Time” 
23,"I work on Amazon Mechanical Turk and there are many dollar amounts to be made. 
It is great for small amounts at a time . 
The money can go directly to your bank or Amazon account.
2 Draw backs I can see is the time it takes to get paid from some hits you do and being able to get paid through Pay Pal. That would be good if they did that.",4,“Good Online work” 
24,"I haven't come across any problems with it.  I came across mturk from a friend who uses it. I admit i was a bit skeptical at first when mturk needed my SS information (but that's only for verification so you can receive payment once you cash out) and I love it. The hits are easy and approved quite quickly.

I will continue to use mturk. Love it.",4,“I love mturk” 
