,content,rating,title
0,I'm going through an arbitration case with Upwork right now. It's horrible.  The best Upwork does is email between both parties before requesting $291 more so that the case can go to arbitration. It's the worst. I do not recommend using Upwork at all.,1,“Awful” 
1,"I am a working professional designer and thought I could earn some extra money from Upwork. The clients are generally terrible at communication. Countless people have accepted my proposals, wasted my time with back-and-forth emails, etc. Only to disappear and never be heard from again. In addition to the low quality clientele, the site is over saturated with mediocre, untrained awful freelancers. Upwork is garbage and I will never waste my time with them again.",1,“This company is a joke.” 
2,"I joined Upwork two years ago because a friend told me about this place for freelancers and I was looking for a good site to gain experience and earn some money. 

I immediatly encountered issues where despite my applications, no client was interested because of my lack of experience on the site, thus no profile reviews on my part which didn't make me appear like a trustful user. I gave up for a long time until I started receiving invites to interviews not long ago and I decided to give it another try, so I replied, sent applications... nothing. 

The most disheartening thing is the very little amount of money clients are willing to offer a freelancer. They want you to deliver a detailed work without paying as much as it's worth and they even ""mock"" you saying you shouldn't expect that much especially if you are new on the platform and with no feedback at hand. This is very disrespectful and not professional at all. 

Other clients are also very vague about what they want the moment you finally find someone interested, sending you references and telling what they need without actually showing you in detail. This will result in a terrible waste of time and again, for a very little amount of money. As if that weren't enough, Upwork apparently likes hiding your profile if you haven't earned money for a while, or used the platform at all even when you're actually in the middle of a contract. You use the site because you want to create a better portfolio and get the needed feedbacks to work more, but how are you supposed to do so if they hide your account from the clients? They don't really offer you the chance to grow unless you're lucky and the small ones are basically treated like slaves most of the time. You want a job well done, you pay as much as the freelancer deserves, simple as that. If you want a cheap job go looking for royalty free stocks and be happy with it. One thing many people fail to consider is that some of us are from Europe and the currency changes depending on your Country. Living in Italy I already face a considerable loss whenever I convert from USD to Euro and if we count the fees Upwork itself takes from the final price offered by the client, you may end up earning HALF if not less of what they are offering you. 

If you're considering the platform to begin your freelance career, don't even bother with Upwork, it's a no-go.",1,“Waste of time” 
3,If you are a freelancer and have two goals: build up your resume and/or your portfolio and you would like to make money doing so - Do NOT use Upwork.com. You can do better elsewhere.,1,"“Just say ""NO"" to Upwork.com” "
4,"I was a freelancer on Upwork. This site mostly attracts clients who expect a lot but want to pay very little. Upwork also takes 20% from each payment made to the freelancer, which is insane. Do yourself a favor and don't join this site. It's not worth your time...",1,“If I could give it 0 stars I would” 
5,"The concept of it is a great one, but the service at upwork is the worst. They don't care about honest transactions and are willing to let scammers work on their platform as long as they get their cut. I lost thousands of dollars with upwork and they did nothing about it. 
Not an honest company at all, use a different platform.",1,“BE WARY: DO NOT USE UPWORK” 
6,"Posted a listing for a writer for project paying up to $10,000. Absolutely 100% legit and all screens filled out properly. However, because of imbeciles running this site, my true, authentic posting was declined as a scam. I think they have it wrong - UpWork is the scam. Wasted 20 mins. describing high-paying job that many writers would jump at. Upwork is obviously an amateurish, nickel and dime operation with no experience or understanding of professional high paying projects. Go to other sites that really know this business.",1,“Posted a legit listing and UpWork deleted it as a scam for NO REASON” 
7,Freelancer logged double the hours than their quote and UpWork allowed it. I left freelancer an appropriate & honest review and they retaliated by leaving personal negative reviews of my business on Yelp. I complained to the BBB about this but UpWork still assumes no responsibility nor liability at all for promoting freelancers who end up costing a business income after over-charging. AVOID UPWORK FREELANCERS.,1,“Freelancers overbill their time and they later retaliate if you complain” 
8,"I used to be a Rising Talent first then the Top Rated freelancer. 

First, there was a 20% fee blow. As a freelance content writer, I can only dream about clients who would pay me $10K+ a year. 

Then, I've submitted my suggestions to the Upwork support to improve their membership option more than once. With 60 bids/connects per month there's not much you can do. I didn't like the idea of paying $2 per additional bid. 

Eventually, my account got suspended because I was bidding too many times with no success. 

Thank you Upwork for all the years I spent there, but you aren't the only freelance platform out there.",1,“Upwork broke my freelance heart!” 
9,"It's waste of time , please this is my humble request to all the freelancer never ever trust on up work because i had 4 month old account and I have verified my id with up work as well as slowly i have started earning and almost earn 200$ and every day i was applying for work and suddenly one day up work lock my account and sent one payment in review , when i tried to contact them then there were no reply at all and not giving my any answer. I am more than 200% sure I have not violated any up work policy , if violate then why up work not saying that so and so policy you have violated because it's useless , NEVER TRUST IF YOU REALLY WANT TO INCREASE YOUR BUSINESS.",1,“Without reason suspend account” 
10,"They are terrible company. if you dont trust me then please go ahead and try it...
I have hired a lady  for website...she has given no input to get any work done in last 4 weeks and guess what they keep taking money from my account. after several messages i decided to cancel the contract but Next week they took money again from my account. 
REMEMBER, ONCE YOU HAVE PUT YOUR ACCOUNT DETAIL YOU CAN NOT CANCEL IT..TRY IT..
Where ever they are they are making fortune from UK market and because they are international and out side of UK so they dont fall under UK legislation....
Please please just careful using this platform, you just lose the money and regret.......",1,"“use anyother platform, you are wasting your money...SCUM” "
11,"You could work through UpWork for 10 years and contribute tens of thousands of dollars to their profit and they could lay you off forever in a heartbeat based on their policy (after 10 years) or based on a whim of your employer who falsely reports you. If you built your freelance business solely on UpWork platform YOU ARE SCREWED my friend.

UpWork is just another example of evil corporatism. The fact that they make money out of connecting workers with employers for hard cash does not make them any different from weapons producers or oil companies. 

They represent the evil nature of corporatism. They care only about their profit.",1,“Stay away from UpWork the evil corporation!” 
12,"Disable your profile with unknown reason when you get some work. This is Time Waste for freelancer to start work in from now 2018 -2019 onwards. 

Support Team is Useless, Does not give 1% of support to you. For Them freelancer are waste person on earth.and they treated in same way.",1,“Waste of Time Spending” 
13,"Freelancer, Malek A ,overcharged me for work that there is no way to check. Went on vacation in middle of job. Then when it came to testing his work took it offline and blackmailed me to only restore our server to test it if we pay full overcharged amount. Asked me to pay not on upwork but with bitcoin. Upwork customer support did nothing and took his side. The freelancer only had a couple of small jobs for little money, which were probably planted reviews. Got scammed but very dissappointed because upwork didn't do anything. Still lost a lot money that I paid directly through paypal because upwork won't ask back for money from freelancer. Never in my 70 years have I been treated so poorly by a company. See screenshot of my chat with customer support where they say they can't do anything.",1,“Got scammed and Upwork took scammers side” 
14,"I spent two hours setting up the perfect profile and filling in all my info, taking tests, etc. I took the English to Italian translation test and literally scored #1 out of the 15000+ people who took the test. They still rejected my application! So let me get this straight, you reject the candidate that is better than everyone you already have because you ""have to many people"" in the area? What an absolute farce.",1,“What a joke!” 
15,"Upwork doesn't understand that as a platform that connects freelancers and clients, they have a responsibility by referring freelancers to clients. When there is a problem with the quality of the service they provide, UPWORK will simply say that it is not their problem. It is like you take an UBER and the guy robs you or leaves you in the wrong city and Uber said ""It is not my Uber's responsibility. If the driver didn't take you to your destination, you need to talk to the driver"". How irresponsible is a company that doesn't understand their role in a commercial agreement? Please save yourself a lot of pain and use other services. Freelancers are great, but from time to time you will find a bad one. Just make sure you use the services of a great platform that takes their business seriously.",1,“They do not consider you as their client. They will leave you fend for yourself.” 
