,content,rating,source
0,"I was contacted supposedly by reps for the company who became interested after the posting of my review.  Well, I could not get company assistance before and don't need it now. My credit card company did what the refused to do. Bottom line. Don't let these companies take advantage. They try to robo charge your credit card after they get your credit card info and provide little to no help after the robo charge when you try to dispute it or cancel whatever the charge was for. Always report it to your credit card company as a fraudulent charge",1,freelancer.com
1,I big on several projects. I was awarded several projects. To date only one amounted to anything and I have yet to be paid for the work done.,1,freelancer.com
2,"First, let me qualify myself by sharing that I'm a fulltime freelancer and that I use other sites and have extraordinary results. I am a top provider with hundreds of satisfied clients around the globe, so I speak from experience. I found Freelancer.com to be entirely useless, ineffectual and a total waste of time. When I closed my account, these gypsies continued to bill my PayPal and help themselves to MY MONEY; and they had the gall to act clueless for a MONTH as I endured a half-dozen back and forth email exchanges. As I tried to get these brainless airheads to return the money they took from me, I got the feeling that they may be trained to drag out the return/credit process as long as possible in order to hold onto the funds. Basically, Freelancer.com, from my perspective, offers ZILCH value for a legitimate fulltime freelancer. The site is antiquated, unsophisticated, and very unprofessional; and from my experience, I have no trust or faith in Freelancer.com. (*Also, take note of others' complaints that the site holds onto freelancers' money for a long time before remitting it. Had I seen THAT before, I'd have never bothered to explore the site, in the first place.) It's just my opinion, but I suspect that we'll see this site will fall on its face and go away before long. There's no way such a poorly-run, unprofessional, desperate business can sustain itself --",1,freelancer.com
3,"After several attempts to cancel my free trail. I contacted online chat support and was told at the beginning that it was still showing active. I was given a link to use to go cancel it again. the link took me to the same place I had already been each time. I asked support to cancel for me and send me confirmation. she then directed me to a more specific area in the link that still did not show the trial having been cancelled. I'm told to disregard to invoice. After this went on for to long, I closed my account. I've never had a company not give me any type of confirmation that a subscription was successfully cancelled. Feels very shady to me.",1,freelancer.com
4,I'm new to the freelancer. So I accidentally sent a project. My money was financed. Then I was very upset. Mr.David helped a lot to get it back down. Thank you very much.,1,freelancer.com
5,"Why do you have a lot of fake reviews? All has the same content of words. Are you hiding flaws and issues? Anyway, this is a big joke. There are A LOT of fake employers and projects. Around 60% are fake. They have FEE for both employer and employee REGARDLESS if you get paid or not. My first project on freelancer, my emoloyer insisted to submit the work first before the milestone. The milestone should be created once awarded to avoid these scammers. You get ridiculous fees and you are the one to pay for the fees in sending. Imagine paying a $5 project fee with a pay of 30$ then you get another $0.42 because of the transaction fee. Really?",1,freelancer.com
6,Kayla.B has been fantastic in assisting me. She's an exemple for the the plateforme she's working for. The plateforme is terrible but Kayla.B is great.,1,freelancer.com
7,"Simply because 99% of these 5 star reviews are fake reviews!  If you enjoy getting DOUBLE scammed, join up to freelancer, they will find ways to charge you for stuff you did not order and with the double chance that you will also get scammed from some freelance user.  However, If you reside in some 3rd world country, you can always get a job with freelancer that pays 15 cents/hour for writing fake reviews!  They also make you go through hoops to cancel your account. If you have a credit card or bank account listed with them, cancel asap!",1,freelancer.com
8,Another funny platform to break your head. recently i was awarded a project on freelancer.com and i completed the work within three days. To my surprise client deposits $5 and closes the project as Not Satisfied. there was no update from freelancer.com about the status. client got the work 100% completed for $5 and disappears. I reach the dispute forum and they say client is not satisfied and he closed the project. who the hell will judge what i have done and what is pending.  These people just need 5% that's it. my suggestion to my friends never apply for jobs who don't deposit money and on allotment of project request full amount as milestone and then start the work. We need to alert working with these freelancer.com they don't bother of your safety then why they charge 5% as frees.,1,freelancer.com
9,"I bid for project, employer gave the project created milestone. After work marked the milestone completed, after that I found that his profile got deleted because of some violation and freelancer reversed all payment. Because of such payment reversal process by freelancer, fraud people get ground to create violation of policy to get there money back, result in employee loss. And freelancer think them-self superior by removing profile and reversal of paid money. Actually freelancer is giving fraud people chance to have fraud with other working people.",1,freelancer.com
10,"In two words - STAY AWAY from these guys. I paid for their recruiters service and an NDA service a total of USD 30/- I posted a very descriptive job on their site explaining what I wanted. Their recruiter Giselle didn't even spend one minute reading it, and gave ignorance away with the Qs she asked me and her assessment of my requirement. This put me off immediately but now that i had paid them I had no choice but to continue. She then said she is scanning appropriate profiles but why dont I also start looking at the Freelancers who had applied. I told her, if this is what I wanted to do then I wouldn't have paid freelancers.com USD 30 to help in the recruiting! Finally she came up with ....drumrolls please...ONE freelancer. I thought I would get at least 5 to 6 names....anyway...I then asked her to recommend a few more as I needed to assess at least 3 profiles before making a decision. Furthermore, when I requested to TALK to her to explain my project requirements she decelined and said that I could TALK / SPEAK (this are her words) to the freelancers. I had made it clear to her that I needed a conversation with the freelancer before I made a decision to recruit them or make any further payments. Now, it so happens, all the freelancers I shorlisted - all have been unable to talk to me over skype as they claim it is a violation of some terms online. This is fine but my problem is why then did you not inform me of this? I specifically mentioned to Giselle the recruiter at Freelancer.com that I will need to talk to the short-listed web developers. Anyhow, Freelancers.com might have had a good idea one time of hiring recruiters to help people like me, but along the way they have totally lost it. They treat their clients like criminals who are out to rob them of their commissions.Im not saying this doesn't happen, but they should then be able to provide a phone link on their servers (which are only accessible when you award a project implying you make a payment to the freelancer) so that we can talk under their umbrella and calls can be recorded. People like me who are willing to pay for their premium services would infact like the added protection. As of now, I have requested a refund since no one has bothered to reply to any of me texts sent today. I will update this post once i hear back from them.",1,freelancer.com
11,Cam here to test their software and got banned in five minutes. Asked one the applicants for an interview and quickly found out it is against their terms of service for you to interview freelancers.  A very unreasonable and demanding bunch. Worst company I have worked with. surprised a company like this can survive. Felt extremely disrespected and confused. I have never been treated more inconsiderately by a company. I suppose it would be a great place if you are willing to hire a picture and text to work for you. Sounds like a great company to recruit a scam artist !,1,freelancer.com
12,"unbelievable practices on freelancer.com the problems that they cause are unbelieveble... saheb m. created me a blog ... i paid him 35 $ and than somehow system created a milestone for 16 $ (saheb m. says it wasnt him... he spoke with frelancer.com support ... and it wasnt him... ""nobody"" knew who created the 16$ milestone...it was booked from my account... he asked me whether we can offset it in following project... i agreed...) THAN : Somehow I got blocked by freelancer.com - the only answer I got was ""you violated our rules"" ... I am not aware of any violation of any rules... i tried to get an answer...but there is no answer... AND THAN : suddenly my blog was hacked by saheb m... I didnt understand why ? almost everything is confusing on freelancer.com I couldnt reach saheb m. and didnt know why he is doing that... after a while I got the answer ... because freelancer.com refund me all the money ... I asked the support : why... ? because saheb m. did his work so he earned his money (35 $)... all the decisions and handling of freelancer.com is confusing not to say senseless... Finaly I could contact him via an other user on freelancer.com ... I paid him his money via palpay... BUT now he wants to have more because he LOSt time with freelancer.com support because he tried to understand why refund me...and he wants to me pay him this time...  NOW : saheb m. still doesnt give my website free... I wanted to be fair and send him his money via paypal but dont get anything for it... and all this stres because of freelancer.com is unable ...and i have 35$ less in my pocket and nothing for it...",1,freelancer.com
13,"We submitted 150, none of the bidders full satisfied our requirements, no money back - no job done. One of the worst experiences that we had with internet services.",1,freelancer.com
14,"I have been a using the platform for 5 years. The first time I was robbed by the platform is when a user hired me work for hourly work and after a month of payment, they user's account was closed and they took money from my bank account to settle the charges to the stolen credit card instead of using their insurance to cover for their mistake!! Lastly, I entered a guaranteed contest last month and after winning it with hard work and receiving my price money.. Again they closed the contest holder's account and put my account in minus with the sum of the fee that I received despite that I delivered my hard work after signing their contract!!! Now please to all new freelancer : DO NOT USE THIS scam platform",1,freelancer.com
15,"I have been working on freelancer for sometime now, and clients have been paying for the work done. The problem is the money keeps disappearing from my account (3 times) and when I ask the support staff they don't respond to my queries. I was even accused of cancelling a milestone, something I wouldn't do since I would be the sole loser. This has really affected my motivation to work on the platform. No one bothers to listen to my issues. The problem is not the clients, but some of the support staff.",1,freelancer.com
16,"Hello everyone. www.freelancer.com this website cheating their clients with many hiding fees. as they call ""Third party fee"" or ""Processing fee"". Which is not indicated during the payment. You may find this only in transaction history, after they cheated you. And there is no money refund for such kind of an action. Recommend everyone complain them, also through a Paypal They show to clients one amount but in fact deduct other (much high). Dont recommend you to use this website to anyone",1,freelancer.com
17,"When you enter the site as an employer you are surprised to see so many 5 star raters. You believe everyone might be doing good work. That is sadly not the case. All those ratings are either managed by friends and family. Or the client is tricked by the freelancer to give the 5 star rating.5 star rating else support will suffer. Or the customer is told that he will not not get the code or the documentation if he does not give a 5 star rating.  Also If you reach freelancer for these issues they ask you to resolve these issues amongst yourself. We will not mediate is what they say. Typical responses on issues from Freelancer Support team. 1. I did not get the code - Sorry connect with your freelancer for this. 2. My project is not moving, the freelancer is not working - We do not mediate. That is not our role. Please talk to the freelancer. 3. Freelancer not responding - Please keep pinging the freelancer. This is not our role. 4. Freelancer not delivering work - Please explain work to the freelancer again. If work is not moving talk to them. We appreciate conversations. Money Honey.",1,freelancer.com
18,"They always restrict or limit my account. And they always take my money without any reason. If I ask it, they just tell me that is for security reason. Surely bad service!",1,freelancer.com
19,"In the three or so months I've been looking for employment on Freelancer, I've received four fraudulent job offers. The first of which I reported myself and was still charged the transaction fee for the job and the remainder of which I was now aware not to accept. I had to contact their support to get the fee refunded, even though they were aware the job was fraudulent and they deleted the employer account. Of the other jobs I've bidded on, only one has been awarded and all the remainder have expired. Freelancer charges for everything. They charge for testing, they charge you for additional bids, they charge you if you are awarded a job, they charge the employer when they award you a job, they charge to sponsor your bids, they nickel and dime everybody for everything. I suppose I could be missing some critical technique that would get my foot in the freelance door but all in all, I'm very displeased with my experience with Freelancer.com",1,freelancer.com
